Nome: BOA VISTA
Codigo Estacao: 82024
Latitude: 2.82944443
Longitude: -60.66194444
Altitude: 84.18
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;5.174731;5.2;35.273333;28.546;24.383871;66.967742;4.11552;1.731395;2.82944443;-60.66194444;84.18
2020-02-29;5.359195;3.4;35.468966;29.008276;24.693103;60.956897;5.1444;2.176022;2.82944443;-60.66194444;84.18
2020-03-31;4.877717;2.4;36.583333;29.888276;25.513333;60.709677;5.1444;1.936065;2.82944443;-60.66194444;84.18
2020-04-30;7.083333;154.2;35.543333;29.335714;25.310345;69.8;4.11552;1.554752;2.82944443;-60.66194444;84.18
2020-05-31;7.649457;298.7;33.148387;27.843226;24.512903;81.814516;4.11552;1.017697;2.82944443;-60.66194444;84.18
2020-06-30;7.527778;351.4;32.263333;27.077333;23.76;83.541667;2.05776;.80024;2.82944443;-60.66194444;84.18
2020-07-31;6.41129;356.5;32.919355;27.294839;24.035484;82.258065;2.05776;.763363;2.82944443;-60.66194444;84.18
2020-08-31;7.244624;220.8;33.670968;27.828387;24.493548;79.532258;4.11552;1.017817;2.82944443;-60.66194444;84.18
2020-09-30;5.583333;48.7;35.603333;29.160667;25.03;70.025;3.08664;1.120336;2.82944443;-60.66194444;84.18
2020-10-31;5.362903;78.8;36.367742;29.545161;25.022581;67.927419;4.11552;1.353201;2.82944443;-60.66194444;84.18
2020-11-30;7.485632;175;34.883333;28.51931;24.834483;75.741667;4.11552;1.182621;2.82944443;-60.66194444;84.18
2020-12-31;6.639785;42.4;33.812903;28.175484;24.696774;74.532258;3.08664;1.183765;2.82944443;-60.66194444;84.18

