Nome: CARACARAI
Codigo Estacao: 82042
Latitude: 1.83249999
Longitude: -61.12083332
Altitude: 51.99
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;6.962366;45.2;33.63871;27.785806;23.387097;75.637097;3.08664;1.150575;1.83249999;-61.12083332;51.99
2020-02-29;6.652299;0;34.096552;28.26069;23.558621;68.62931;3.08664;1.478276;1.83249999;-61.12083332;51.99
2020-03-31;6.574675;39.2;35.98;29.637857;24.410345;69.25;3.08664;1.068966;1.83249999;-61.12083332;51.99
2020-04-30;7.725;111.4;32.983333;27.94087;24.896;88;3.08664;.51444;1.83249999;-61.12083332;51.99
2020-05-31;7.995283;462.1;32.015385;27.058462;24.269231;93.384615;3.08664;.446495;1.83249999;-61.12083332;51.99
2020-06-30;8.137255;377.5;31.876923;26.643478;23.638462;94.076923;2.05776;.322786;1.83249999;-61.12083332;51.99
2020-07-31;7.662037;240;32.785185;26.930769;23.507692;92.384615;3.08664;.5716;1.83249999;-61.12083332;51.99
2020-08-31;7.596154;188.8;33.307692;27.404615;24.053846;91.076923;3.08664;.494654;1.83249999;-61.12083332;51.99
2020-09-30;6.25;64.6;34.264;28.359048;24.291304;87.346154;2.05776;.831018;1.83249999;-61.12083332;51.99
2020-10-31;7.004717;32;35.059259;28.275385;24.169231;86.851852;2.05776;.349431;1.83249999;-61.12083332;51.99
2020-11-30;7.022059;74.6;33.822222;27.56;24.051852;87.666667;3.08664;.711138;1.83249999;-61.12083332;51.99
2020-12-31;7.204301;162.6;32.826667;27.264286;23.910345;84.870968;3.08664;1.017697;1.83249999;-61.12083332;51.99

