Nome: MACAPA
Codigo Estacao: 82098
Latitude: -0.04499999
Longitude: -51.11
Altitude: 12.8
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;9,395161;273,5;31,045161;26,740645;24,1;84,709677;3,08664;,995069;-0.04499999;-51.11;12.8
2020-02-29;9,497126;256,2;31,110345;26,668571;24,146429;85,146552;3,60108;1,093924;-0.04499999;-51.11;12.8
2020-03-31;9,260753;196,9;31,13871;26,823871;24,287097;84,846774;3,60108;1,017817;-0.04499999;-51.11;12.8
2020-04-30;9,353933;317,8;31,551724;27,062069;24,476667;86,12931;4,11552;,911962;-0.04499999;-51.11;12.8
2020-05-31;8,793011;286,2;32,209677;27,618065;24,825806;84,870968;3,08664;,794027;-0.04499999;-51.11;12.8
2020-06-30;8,736111;242,3;32,127586;27,483448;24,6;83,566667;3,60108;,815012;-0.04499999;-51.11;12.8
2020-07-31;7,728495;150,7;33,1;27,901935;24,480645;79,830645;3,60108;,829742;-0.04499999;-51.11;12.8
2020-08-31;6,989247;171,4;33,93871;28,590968;24,967742;76,629032;3,60108;1,388435;-0.04499999;-51.11;12.8
2020-09-30;6,162921;27;33,716667;28,850667;24,933333;72,508333;4,11552;1,974551;-0.04499999;-51.11;12.8
2020-10-31;6,414835;,2;34,5;29,426667;24,89;68,080645;4,11552;2,164003;-0.04499999;-51.11;12.8
2020-11-30;9,076705;188;32,716667;28,083333;24,693333;79,95;3,08664;1,099031;-0.04499999;-51.11;12.8
2020-12-31;8,158602;170;32,335484;27,775484;24,309677;78,701613;3,08664;1,344182;-0.04499999;-51.11;12.8

