Nome: SAO GABRIEL DA CACHOEIRA(UAUPES)
Codigo Estacao: 82106
Latitude: -0.12527777
Longitude: -67.06111111
Altitude: 79.71
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;6.975806;191.3;33.483871;null;null;91.483871;2.05776;.879526;-0.12527777;-67.06111111;79.71
2020-02-29;6.995614;84.5;34.828571;null;null;88.392857;2.05776;.983754;-0.12527777;-67.06111111;79.71
2020-03-31;8.145833;263.8;33.616667;null;null;88.933333;3.08664;1.183212;-0.12527777;-67.06111111;79.71
2020-04-30;7.740385;241.2;32.653846;null;null;93.230769;2.05776;.969522;-0.12527777;-67.06111111;79.71
2020-05-31;null;null;null;null;null;null;null;null;-0.12527777;-67.06111111;79.71
2020-06-30;7.025;416.8;32.248;null;null;92.16;2.05776;.884837;-0.12527777;-67.06111111;79.71
2020-07-31;6.342593;237.5;32.444444;null;null;91.555556;2.05776;.819293;-0.12527777;-67.06111111;79.71
2020-08-31;6.9;104.8;32.696154;null;null;91.192308;3.08664;.585049;-0.12527777;-67.06111111;79.71
2020-09-30;4.75;99.1;34.1;null;null;90.32;1.02888;.484179;-0.12527777;-67.06111111;79.71
2020-10-31;5.697115;93.9;34.203704;null;null;89.962963;3.08664;.704973;-0.12527777;-67.06111111;79.71
2020-11-30;6.55;344.7;33.384;null;null;91.36;2.05776;.68592;-0.12527777;-67.06111111;79.71
2020-12-31;6.863208;228.8;32.825926;null;null;92.481481;2.05776;.609707;-0.12527777;-67.06111111;79.71

