Nome: BARCELOS
Codigo Estacao: 82113
Latitude: -0.97416666
Longitude: -62.9286111
Altitude: 30.65
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;5.708333;48.8;34.232143;28.272857;24.241935;91.241379;2.5722;.454422;-0.97416666;-62.9286111;30.65
2020-02-29;5.02193;46;34.689655;28.51;24.05;89.37931;2.5722;.460288;-0.97416666;-62.9286111;30.65
2020-03-31;5.360169;242.4;33.534483;27.964286;23.965517;92.896552;1.02888;.331334;-0.97416666;-62.9286111;30.65
2020-04-30;7.5;284.5;31.333333;26.360952;23.653846;96;1.02888;.321525;-0.97416666;-62.9286111;30.65
2020-05-31;8.349057;466.4;30.8125;26.310435;23.648;96.923077;1.02888;.291192;-0.97416666;-62.9286111;30.65
2020-06-30;7.9;307.4;31.75;26.460909;23.446154;95.28;1.02888;.288086;-0.97416666;-62.9286111;30.65
2020-07-31;6.990741;164.1;32.811111;26.885185;23.192593;94.074074;1.02888;.266747;-0.97416666;-62.9286111;30.65
2020-08-31;7.5;73.9;32.303226;26.790323;23.43871;84.508065;2.05776;.531035;-0.97416666;-62.9286111;30.65
2020-09-30;6.583333;212;33.266667;27.20069;23.206667;82.925;2.05776;.503008;-0.97416666;-62.9286111;30.65
2020-10-31;6.922043;112.9;32.983333;26.850345;23.123333;84.641667;3.08664;.531035;-0.97416666;-62.9286111;30.65
2020-11-30;7.55618;166.6;32.616667;27.176667;23.796667;84.116667;3.60108;.583803;-0.97416666;-62.9286111;30.65
2020-12-31;7.486559;439.6;32.380645;26.700645;23.354839;86.975806;2.05776;.409339;-0.97416666;-62.9286111;30.65

