Nome: SOURE
Codigo Estacao: 82141
Latitude: -0.72777777
Longitude: -48.51583333
Altitude: 12.6
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;7,026119;421,1;30,036364;27,09;25,068182;87,454545;4,62996;1,735275;-0.72777777;-48.51583333;12.6
2020-02-29;8,318966;395,9;29,584211;26,64;24,742105;91;4,62996;1,498194;-0.72777777;-48.51583333;12.6
2020-03-31;6,847826;335,9;29,936364;26,865455;24,933333;88,443182;4,62996;1,498586;-0.72777777;-48.51583333;12.6
2020-04-30;7,359155;231,1;30,157143;27,092;25,164;90,416667;3,60108;1,398407;-0.72777777;-48.51583333;12.6
2020-05-31;6,584507;235,1;31,515;28,348;26,38;84,0125;3,60108;1,760689;-0.72777777;-48.51583333;12.6
2020-06-30;5,964912;233,6;31,775;27,99913;25,870833;85,6875;3,60108;1,705775;-0.72777777;-48.51583333;12.6
2020-07-31;4,768519;67,5;32,296296;28,539259;26,274074;83,814815;4,11552;1,895807;-0.72777777;-48.51583333;12.6
2020-08-31;5,056818;66,6;32,139286;28,942857;26,742857;78,392857;4,62996;2,509844;-0.72777777;-48.51583333;12.6
2020-09-30;null;null;null;null;null;null;null;null;-0.72777777;-48.51583333;12.6
2020-10-31;4,964286;0;32,496;29,488696;27,630435;77,32;4,11552;2,950723;-0.72777777;-48.51583333;12.6
2020-11-30;6,25;null;31,614286;28,501905;26,119048;82,761905;4,62996;2,167997;-0.72777777;-48.51583333;12.6
2020-12-31;5,841346;20,7;31,846154;28,909231;26,884615;79,769231;4,11552;2,512842;-0.72777777;-48.51583333;12.6

