Nome: TRACUATEUA
Codigo Estacao: 82145
Latitude: -1.06361111
Longitude: -46.86527777
Altitude: 24.68
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;7,720588;549;30,971429;26,238095;23,008696;89,22619;1,02888;,253381;-1.06361111;-46.86527777;24.68
2020-02-29;8,159091;525,3;30,33;25,964;23,05;92,85;1,02888;,151802;-1.06361111;-46.86527777;24.68
2020-03-31;6,971831;510,2;31,403333;26,391724;23,12069;90,466667;1,02888;,165567;-1.06361111;-46.86527777;24.68
2020-04-30;7,5;306,8;31,163333;26,185333;23,043333;90,25;1,02888;,219649;-1.06361111;-46.86527777;24.68
2020-05-31;6,17378;335,7;31,909677;26,674839;23,135484;88,548387;1,02888;,365086;-1.06361111;-46.86527777;24.68
2020-06-30;5,733333;295,5;31,693333;26,333333;23,006667;89,458333;1,54332;,34296;-1.06361111;-46.86527777;24.68
2020-07-31;4,066092;179,1;32,76129;26,799355;22,783871;85,427419;1,54332;,425934;-1.06361111;-46.86527777;24.68
2020-08-31;3,158602;27,4;33,645161;27,339355;22,535484;79,774194;4,62996;,663794;-1.06361111;-46.86527777;24.68
2020-09-30;3,458333;18,8;34,1;27,56;22,653333;77,25;3,08664;,788808;-1.06361111;-46.86527777;24.68
2020-10-31;3,274457;0;34,93871;28,085333;22,75;73,959677;1,54332;,80521;-1.06361111;-46.86527777;24.68
2020-11-30;5,03125;127,9;null;null;null;80,566667;1,54332;,508594;-1.06361111;-46.86527777;24.68
2020-12-31;4,789326;34,4;null;null;null;78,596774;1,54332;,636135;-1.06361111;-46.86527777;24.68

