Nome: OBIDOS
Codigo Estacao: 82178
Latitude: -1.905
Longitude: -55.5236111
Altitude: 54.72
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;6,923077;127,4;null;null;24,116129;84,741667;5,1444;1,571586;-1.905;-55.5236111;54.72
2020-02-29;8,017241;303,2;null;null;23,924138;86,155172;5,1444;1,289057;-1.905;-55.5236111;54.72
2020-03-31;7,217742;451,6;null;null;24,277419;84,483871;5,1444;1,792243;-1.905;-55.5236111;54.72
2020-04-30;7,791667;398,6;null;null;24,1;87,116667;5,1444;1,360408;-1.905;-55.5236111;54.72
2020-05-31;7,580128;248,2;null;null;24,674074;84,293478;4,11552;1,912662;-1.905;-55.5236111;54.72
2020-06-30;6,615169;88,1;null;null;24,613333;83,025;4,11552;2,173364;-1.905;-55.5236111;54.72
2020-07-31;5,147849;15,8;null;null;25,03871;80,629032;5,1444;2,467099;-1.905;-55.5236111;54.72
2020-08-31;5,510753;62,2;null;null;24,967742;78,185484;5,1444;2,566668;-1.905;-55.5236111;54.72
2020-09-30;5,166667;41,8;null;null;24,993333;77,466667;5,1444;2,835136;-1.905;-55.5236111;54.72
2020-10-31;6,277174;31,8;null;null;25,133333;75,290323;5,1444;2,437998;-1.905;-55.5236111;54.72
2020-11-30;7,102273;147,2;null;null;24,573333;81,05;5,1444;2,209754;-1.905;-55.5236111;54.72
2020-12-31;7,163978;107,8;null;null;24,474194;81,766129;5,1444;1,74799;-1.905;-55.5236111;54.72

