Nome: MONTE ALEGRE
Codigo Estacao: 82181
Latitude: -2
Longitude: -54.07638888
Altitude: 100.52
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;8,238636;148,5;30,531818;26,414118;23,317647;79,988636;5,65884;2,319307;-2;-54.07638888;100.52
2020-02-29;8,432203;267,2;30,46;26,294667;23,7;81,2625;5,65884;2,05776;-2;-54.07638888;100.52
2020-03-31;7,75;402,4;30,454545;26,526;23,855;82,761364;5,1444;2,216049;-2;-54.07638888;100.52
2020-04-30;8,9375;379,7;29,58;25,994;23,42;86,225;5,1444;1,466154;-2;-54.07638888;100.52
2020-05-31;7,868852;228,6;30,995;26,842;24,045;83,0375;4,62996;2,125228;-2;-54.07638888;100.52
2020-06-30;7,028302;90,3;31,063636;26,881905;24,077273;81,25;4,62996;2,028641;-2;-54.07638888;100.52
2020-07-31;null;null;null;null;null;null;null;null;-2;-54.07638888;100.52
2020-08-31;4,836066;11,9;33,05;28,224;24,77619;71,4;6,68772;3,120374;-2;-54.07638888;100.52
2020-09-30;5,327381;2,4;33,717857;28,965714;24,707143;69,348214;8,23104;2,633443;-2;-54.07638888;100.52
2020-10-31;6,413043;,5;34,364516;29,311333;24,953333;66,572581;5,65884;2,784686;-2;-54.07638888;100.52
2020-11-30;7,840909;246,2;31,796667;27,451333;23,89;79,341667;6,17328;1,993455;-2;-54.07638888;100.52
2020-12-31;7,352151;76,7;31,309677;27,096774;23,796774;78,991935;5,1444;2,118608;-2;-54.07638888;100.52

