Nome: PORTO DE MOZ
Codigo Estacao: 82184
Latitude: -1.751055
Longitude: -52.236186
Altitude: 13.08
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;6,986264;209,1;31,858065;null;null;83,064516;1,02888;,915816;-1.751055;-52.236186;13.08
2020-02-29;7,068966;296,1;31,734483;null;null;84,301724;1,54332;,869226;-1.751055;-52.236186;13.08
2020-03-31;6,86828;311;32,509677;null;null;81,637097;1,02888;,907185;-1.751055;-52.236186;13.08
2020-04-30;7,208333;265,7;31,936667;null;null;84,533333;1,02888;,845968;-1.751055;-52.236186;13.08
2020-05-31;6,91358;305,4;32,392593;null;null;84,111111;1,02888;,80024;-1.751055;-52.236186;13.08
2020-06-30;6,5;217,3;32,616667;null;null;81,308333;1,02888;,754512;-1.751055;-52.236186;13.08
2020-07-31;5,740741;44,5;33,437037;null;null;79,962963;1,02888;,647813;-1.751055;-52.236186;13.08
2020-08-31;6,048387;70,8;34,258065;null;null;74,701613;1,54332;,82421;-1.751055;-52.236186;13.08
2020-09-30;5,963889;52,1;34,83;null;null;73,708333;1,3;,87548;-1.751055;-52.236186;13.08
2020-10-31;6,217391;27,8;34,783871;null;null;71,580645;1,54332;,899956;-1.751055;-52.236186;13.08
2020-11-30;6,761364;222,7;32,52;null;null;81,05;2,5722;,911962;-1.751055;-52.236186;13.08
2020-12-31;6,948925;111;32,241935;null;null;82;1,54332;,907185;-1.751055;-52.236186;13.08

