Nome: BREVES
Codigo Estacao: 82188
Latitude: -1.680277
Longitude: -50.478034
Altitude: 9.8
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;6,354839;337,6;30,645161;26,087097;22,26129;89,298387;1;,550538;-1.680277;-50.478034;9.8
2020-02-29;5,186047;341,4;32,15;27,117143;22,982759;86,205357;3,60108;,825161;-1.680277;-50.478034;9.8
2020-03-31;6,332418;257,5;31,66129;26,598065;22,535484;87,451613;2,05776;,893204;-1.680277;-50.478034;9.8
2020-04-30;5,210674;309,2;31,878571;26,992857;23;86,672414;1,54332;,803451;-1.680277;-50.478034;9.8
2020-05-31;6,169355;412;32,43871;27,020645;22,806452;86,5;2,05776;,818679;-1.680277;-50.478034;9.8
2020-06-30;5,847222;123;32,893333;27,216667;22,85;84,766667;2,05776;,948856;-1.680277;-50.478034;9.8
2020-07-31;5,134409;12,2;32,974194;27,574839;23,164516;83,967742;2,05776;,918248;-1.680277;-50.478034;9.8
2020-08-31;5,483871;23,8;33,096774;27,674194;23,480645;82,419355;2,05776;,912716;-1.680277;-50.478034;9.8
2020-09-30;5,652778;20,6;35,22;28,524;23,526667;78,416667;2,05776;1,154632;-1.680277;-50.478034;9.8
2020-10-31;5,964674;92,4;33,064516;27,77;23,723333;83,685484;2,05776;,80521;-1.680277;-50.478034;9.8
2020-11-30;6,420455;365;32,406667;27,060667;22,79;87;2,05776;1,040572;-1.680277;-50.478034;9.8
2020-12-31;5,94086;267,8;32,754839;27,603871;23,76129;84,274194;3,08664;,807615;-1.680277;-50.478034;9.8

