Nome: BELEM
Codigo Estacao: 82191
Latitude: -1.43583333
Longitude: -48.43722221
Altitude: 7.13
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;8,505376;386;31,883871;26,32;23,196774;91,16129;2,1;,486022;-1.43583333;-48.43722221;7.13
2020-02-29;8,948276;589,2;31,541379;26,289655;23,444828;92,698276;3,60108;,626789;-1.43583333;-48.43722221;7.13
2020-03-31;8,454301;931,1;31,712903;26,528387;23,719355;91,790323;3,08664;,531035;-1.43583333;-48.43722221;7.13
2020-04-30;8,458333;569,2;32,366667;26,971333;24,156667;90,891667;3,60108;,417268;-1.43583333;-48.43722221;7.13
2020-05-31;6,766304;444,4;33,964516;27,487097;23,774194;86,056452;2,5722;,581541;-1.43583333;-48.43722221;7.13
2020-06-30;5,652778;273,9;33,923333;27,42;23,733333;83,508333;2,05776;,765944;-1.43583333;-48.43722221;7.13
2020-07-31;5,053763;133,8;34,541935;27,655484;23,464516;79,120968;4,11552;,968032;-1.43583333;-48.43722221;7.13
2020-08-31;4,005376;54,3;35,358065;28,166452;23,258065;75,467742;2,5722;1,194828;-1.43583333;-48.43722221;7.13
2020-09-30;5,180556;146,6;35,026667;27,8;23,296667;78,991667;2,5722;1,120336;-1.43583333;-48.43722221;7.13
2020-10-31;5,774457;264;34,2;27,382;23,16;83,258065;3,60108;,93382;-1.43583333;-48.43722221;7.13
2020-11-30;6,818182;502,1;33,596667;27,18;23,6;85,4;3,60108;,923654;-1.43583333;-48.43722221;7.13
2020-12-31;7,258065;213,6;33,409677;27,267097;23,477419;84,564516;2,5722;,82421;-1.43583333;-48.43722221;7.13

