Nome: TURIACU
Codigo Estacao: 82198
Latitude: -1.66138888
Longitude: -45.37194443
Altitude: 34.48
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;8.38764;396.1;30.935484;27.007333;24.18;85.556452;4.11552;1.470627;-1.66138888;-45.37194443;34.48
2020-02-29;8.452381;441.7;30.317857;26.556296;23.892857;87.669643;4.11552;1.43438;-1.66138888;-45.37194443;34.48
2020-03-31;8.220109;531.7;30.406667;26.435333;23.496774;88.808333;4.62996;1.342017;-1.66138888;-45.37194443;34.48
2020-04-30;8.861111;492.2;30.336667;26.384667;23.236667;89.783333;5.1444;1.326112;-1.66138888;-45.37194443;34.48
2020-05-31;7.473118;212.7;31.664516;27.215484;23.706452;86.419355;4.62996;1.122917;-1.66138888;-45.37194443;34.48
2020-06-30;7.097222;273.2;31.443333;26.758;23.1;85.508333;6.17328;1.463296;-1.66138888;-45.37194443;34.48
2020-07-31;5.524194;96.7;32.087097;27.199355;23.258065;83.346774;4.62996;1.825432;-1.66138888;-45.37194443;34.48
2020-08-31;5.16129;75.5;32.245161;27.097419;22.983871;80.379032;7.20216;2.046697;-1.66138888;-45.37194443;34.48
2020-09-30;4.888889;.4;33.643333;27.754667;23.12;75.483333;4.8;2.299145;-1.66138888;-45.37194443;34.48
2020-10-31;4.80163;.2;33.764516;28.226;23.373333;72.790323;4.11552;2.125634;-1.66138888;-45.37194443;34.48
2020-11-30;6.83908;92.7;33.183333;28.023333;23.533333;78.875;4.62996;1.858999;-1.66138888;-45.37194443;34.48
2020-12-31;7.142857;6.4;33.296774;27.966452;23.090323;76.903226;4.62996;1.963723;-1.66138888;-45.37194443;34.48

