Nome: FONTE BOA
Codigo Estacao: 82212
Latitude: -2.51583333
Longitude: -66.10083333
Altitude: 59.34
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;7.245763;172.4;32.303846;27.25;22.619355;85.769231;4.11552;.889371;-2.51583333;-66.10083333;59.34
2020-02-29;7.195122;149.9;33.348276;27.746207;22.917241;85.068966;2.05776;.715197;-2.51583333;-66.10083333;59.34
2020-03-31;null;null;33.555;27.716842;23.394737;87.5;1.02888;null;-2.51583333;-66.10083333;59.34
2020-04-30;null;null;null;null;null;null;null;null;-2.51583333;-66.10083333;59.34
2020-05-31;null;null;null;null;null;null;null;null;-2.51583333;-66.10083333;59.34
2020-06-30;null;null;null;null;null;null;null;null;-2.51583333;-66.10083333;59.34
2020-07-31;null;null;null;null;null;null;null;null;-2.51583333;-66.10083333;59.34
2020-08-31;6.394231;54.8;32.807692;27.226154;22.546154;82.68;2.05776;.544119;-2.51583333;-66.10083333;59.34
2020-09-30;6.634615;130.3;32.769231;26.9825;21.45;84.807692;2.05776;.494654;-2.51583333;-66.10083333;59.34
2020-10-31;6.485849;126.8;33.896296;27.454615;21.434615;83.111111;1.02888;.640623;-2.51583333;-66.10083333;59.34
2020-11-30;7.784091;209.4;33.188462;27.568;21.746154;81.490385;2.05776;.717098;-2.51583333;-66.10083333;59.34
2020-12-31;7.728495;200.1;32.28;26.554;21.358065;83.025;3.60108;.967371;-2.51583333;-66.10083333;59.34

