Nome: BELTERRA
Codigo Estacao: 82246
Latitude: -2.64222221
Longitude: -54.94388888
Altitude: 164.3
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;7,836022;148,9;31,287097;26,04;22,103226;91,016129;2,5722;,993723;-2.64222221;-54.94388888;164.3
2020-02-29;8,299419;307,6;30,741379;null;null;92,5;3,60108;,981025;-2.64222221;-54.94388888;164.3
2020-03-31;7,352151;274;31,216129;null;null;91,024194;1,54332;,962501;-2.64222221;-54.94388888;164.3
2020-04-30;8,75;502,9;30,253333;null;null;94,125;1,54332;,845968;-2.64222221;-54.94388888;164.3
2020-05-31;7,849462;240,7;31,06129;null;null;93,032258;1,02888;,951437;-2.64222221;-54.94388888;164.3
2020-06-30;7,097222;150,3;31,816667;null;null;90,316667;1,54332;,937424;-2.64222221;-54.94388888;164.3
2020-07-31;6,680108;63,3;32,690323;null;null;89,91129;1,54332;,951437;-2.64222221;-54.94388888;164.3
2020-08-31;5,967742;97,9;33,093548;null;null;87,459677;1,54332;,868463;-2.64222221;-54.94388888;164.3
2020-09-30;5,291667;26,1;33,923333;null;null;84,808333;1,54332;,851684;-2.64222221;-54.94388888;164.3
2020-10-31;5,978261;2,1;34,390323;null;null;82,669355;1,54332;,989738;-2.64222221;-54.94388888;164.3
2020-11-30;7,755682;124,8;31,69;null;null;89,833333;3,08664;1,023034;-2.64222221;-54.94388888;164.3
2020-12-31;7,97043;105,4;31,493548;null;null;89,967742;1,54332;,984627;-2.64222221;-54.94388888;164.3

