Nome: CAMETA
Codigo Estacao: 82263
Latitude: -2.23972221
Longitude: -49.49972221
Altitude: 9.93
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;8,172043;453,8;31,758065;26,699355;23,745161;90,241935;4,11552;2,577732;-2.23972221;-49.49972221;9.93
2020-02-29;8,663793;490,9;31,410345;26,782857;23,842857;90,793103;4,11552;2,241066;-2.23972221;-49.49972221;9.93
2020-03-31;7,80914;405,7;31,570968;27,025161;24,1;89,032258;5,1444;3,108766;-2.23972221;-49.49972221;9.93
2020-04-30;8,300562;488,6;32,31;27,086667;24,106667;89,616667;4,11552;2,377856;-2.23972221;-49.49972221;9.93
2020-05-31;7,359155;288,3;null;null;24,374194;null;4,11552;2,333094;-2.23972221;-49.49972221;9.93
2020-06-30;5,537975;200,4;33,909524;28,739048;24,776667;80,095238;4,11552;2,643831;-2.23972221;-49.49972221;9.93
2020-07-31;3,91129;39,6;34,490323;28,875484;24,8;78,483871;4,11552;2,765806;-2.23972221;-49.49972221;9.93
2020-08-31;4,502688;27,4;35,374194;29,630323;24,945161;75,201613;5,1444;2,854312;-2.23972221;-49.49972221;9.93
2020-09-30;4,444444;59,6;34,62;29,254483;24,933333;75,566667;5,1444;3,195244;-2.23972221;-49.49972221;9.93
2020-10-31;4,619565;18,1;34,209677;29,100667;24,706667;74,637097;4,11552;3,735282;-2.23972221;-49.49972221;9.93
2020-11-30;7,03125;284,3;33,233333;27,926;24,12;82,708333;4,11552;2,47282;-2.23972221;-49.49972221;9.93
2020-12-31;7,016129;175,2;33,03871;27,875484;23,987097;81,895161;4,11552;2,456036;-2.23972221;-49.49972221;9.93

