Nome: SAO LUIS
Codigo Estacao: 82280
Latitude: -2.52666666
Longitude: -44.21361111
Altitude: 32.58
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;7.520161;556.7;30.241935;null;24.819355;null;3.08664;.760477;-2.52666666;-44.21361111;32.58
2020-02-29;7.438525;435.2;30.624138;null;24.710345;null;4.62996;.849424;-2.52666666;-44.21361111;32.58
2020-03-31;7.857143;657.8;30.206452;null;24.609677;null;3.08664;.821986;-2.52666666;-44.21361111;32.58
2020-04-30;7.875;538.1;30.883333;null;24.786667;null;3.08664;.82882;-2.52666666;-44.21361111;32.58
2020-05-31;6.612903;236;32.296774;null;24.877419;null;3.60108;1.117386;-2.52666666;-44.21361111;32.58
2020-06-30;6.1875;136.3;32.137931;null;24.473333;null;3.08664;1.070272;-2.52666666;-44.21361111;32.58
2020-07-31;5.685484;54.5;32.058065;null;24.135484;null;3.08664;1.161639;-2.52666666;-44.21361111;32.58
2020-08-31;5.504032;11.9;32.813333;null;24.370968;null;4.62996;1.666338;-2.52666666;-44.21361111;32.58
2020-09-30;5.147541;0;33.2;null;25;null;4.62996;2.774163;-2.52666666;-44.21361111;32.58
2020-10-31;5.380435;0;33.174194;28.103333;24.963333;78.403226;4.62996;2.633854;-2.52666666;-44.21361111;32.58
2020-11-30;6.548295;35;32.693333;28.072;25.286667;83.183333;4.11552;2.139603;-2.52666666;-44.21361111;32.58
2020-12-31;6.586022;46.9;32.709677;28.06;25.322581;81.209677;3.60108;2.384125;-2.52666666;-44.21361111;32.58

