Nome: TEFE
Codigo Estacao: 82317
Latitude: -3.38027777
Longitude: -64.72527777
Altitude: 56
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;5,443548;195,3;33,36129;28,085806;24,13871;80,233871;3,08664;,553161;-3.38027777;-64.72527777;56
2020-02-29;6,235632;171,5;33,106897;27,978621;24,37931;80,206897;3,08664;,733225;-3.38027777;-64.72527777;56
2020-03-31;6,5625;231,6;32,806667;27,406667;23,933333;85,216667;3,08664;,578745;-3.38027777;-64.72527777;56
2020-04-30;6,826923;479,2;31,853846;26,581538;23,023077;88,16;2,05776;,217648;-3.38027777;-64.72527777;56
2020-05-31;6,886792;305,6;31,307692;26,703077;23,476923;90,038462;2,05776;,349431;-3.38027777;-64.72527777;56
2020-06-30;5,808824;113,2;32,523077;27,16;23,107692;88,076923;2,05776;,282438;-3.38027777;-64.72527777;56
2020-07-31;4,722222;173,4;33,044444;27,003077;22,659259;87,62963;2,05776;,17148;-3.38027777;-64.72527777;56
2020-08-31;4,669811;125,2;34,373077;27,626923;22,5;83,067308;3,08664;,388257;-3.38027777;-64.72527777;56
2020-09-30;4,711538;124,5;33,553846;27,173846;22,707692;86,269231;2,05776;,415509;-3.38027777;-64.72527777;56
2020-10-31;5,99537;89,8;34,211111;27,203704;22,925926;86,962963;2,05776;,40012;-3.38027777;-64.72527777;56
2020-11-30;6,413043;380,7;32,477778;27,037778;22,985185;87,296296;2,05776;,34296;-3.38027777;-64.72527777;56
2020-12-31;6,639785;227,4;32,409677;26,956552;23,316129;83,66129;2,05776;,503257;-3.38027777;-64.72527777;56

