Nome: CODAJAS
Codigo Estacao: 82326
Latitude: -3.8411111
Longitude: -62.05527777
Altitude: 30.31
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;6.995968;319.5;32.89;27.11;23.864516;91.233333;2.05776;1.327587;-3.8411111;-62.05527777;30.31
2020-02-29;7.568182;172.4;32.439286;27.267857;24.442857;92.214286;3.08664;1.702329;-3.8411111;-62.05527777;30.31
2020-03-31;7.479167;480.6;32.768966;26.977241;24.24;94.6;4.62996;1.689078;-3.8411111;-62.05527777;30.31
2020-04-30;6.760204;null;31.85;26.564348;24.188;94.954545;3.08664;1.774293;-3.8411111;-62.05527777;30.31
2020-05-31;6.910377;342.4;31.107692;26.363077;23.903846;95.730769;4.11552;1.960696;-3.8411111;-62.05527777;30.31
2020-06-30;6.421569;190.2;32.011538;26.5296;23.14;94.961538;2.05776;1.573581;-3.8411111;-62.05527777;30.31
2020-07-31;4.861111;112.9;32.714815;26.244615;22.388462;94.962963;3.08664;1.650091;-3.8411111;-62.05527777;30.31
2020-08-31;6.129808;15.5;34.542308;27.5032;22.752;90.423077;6.17328;2.453483;-3.8411111;-62.05527777;30.31
2020-09-30;6.995192;70.5;34.026923;27.050769;23.034615;90.769231;4.11552;2.295194;-3.8411111;-62.05527777;30.31
2020-10-31;7.638889;130.1;33.459259;26.619259;23.118519;92.769231;3.08664;2.324507;-3.8411111;-62.05527777;30.31
2020-11-30;null;null;null;null;null;null;null;null;-3.8411111;-62.05527777;30.31
2020-12-31;7.900943;399;31.611111;26.201481;23.374074;95.740741;3.08664;2.174237;-3.8411111;-62.05527777;30.31

