Nome: MANAUS
Codigo Estacao: 82331
Latitude: -3.10388888
Longitude: -60.01555555
Altitude: 48.86
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;7.284946;441.9;32.62;27.925517;25.246667;77.967742;4.11552;.829742;-3.10388888;-60.01555555;48.86
2020-02-29;8.29023;232.1;32.396552;27.991724;25.603448;78.913793;2.05776;.981575;-3.10388888;-60.01555555;48.86
2020-03-31;7.325269;446.3;32.412903;28.232667;25.764516;78.766129;3.08664;.807615;-3.10388888;-60.01555555;48.86
2020-04-30;7.847222;348.1;31.67;27.276;25.083333;83.791667;2.5722;.840252;-3.10388888;-60.01555555;48.86
2020-05-31;7.651099;287;32.074194;27.508;25.103333;83.072581;2.05776;.836672;-3.10388888;-60.01555555;48.86
2020-06-30;5.666667;181.7;32.343333;27.999333;25.016667;77.041667;2.05776;.811672;-3.10388888;-60.01555555;48.86
2020-07-31;4.475806;51.7;33.564516;29.011613;25.648387;68.451613;2.05776;.885058;-3.10388888;-60.01555555;48.86
2020-08-31;4.771505;29.4;34.883871;29.619355;26.083871;63.403226;2.05776;.951437;-3.10388888;-60.01555555;48.86
2020-09-30;5.305556;123.2;35;29.502759;25.74;66.866667;3.08664;1.063176;-3.10388888;-60.01555555;48.86
2020-10-31;6.747312;120.9;33.303226;28.340645;25.109677;76.120968;2.05776;.708046;-3.10388888;-60.01555555;48.86
2020-11-30;7.41573;469.6;32.65;28.055333;25.136667;79.15;2.05776;.693627;-3.10388888;-60.01555555;48.86
2020-12-31;7.664835;391.7;32.474194;27.63;24.822581;80.669355;2.05776;.814059;-3.10388888;-60.01555555;48.86

