Nome: ITACOATIARA
Codigo Estacao: 82336
Latitude: -3.13694444
Longitude: -58.44277777
Altitude: 19.16
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;6,977612;273,9;31,906667;27,78069;24;83,524194;3,08664;,918078;-3.13694444;-58.44277777;19.16
2020-02-29;8,072289;202,5;31,341379;27,568966;24,475862;81,724138;3,08664;1,02888;-3.13694444;-58.44277777;19.16
2020-03-31;6,975309;176,3;32,044828;27,933793;24,383333;81,241379;3,08664;1,397244;-3.13694444;-58.44277777;19.16
2020-04-30;8,137255;274,5;31,148;26,970833;23,656;87,8;3,08664;,726268;-3.13694444;-58.44277777;19.16
2020-05-31;7,45283;305,8;31,130769;27,414167;24,183333;87,192308;2,05776;,679449;-3.13694444;-58.44277777;19.16
2020-06-30;5,85;250,7;32,452;28,023333;24,024;82,4;2,05776;,843682;-3.13694444;-58.44277777;19.16
2020-07-31;5,046296;36,7;33,648148;28,838519;24,396296;78,423077;2,05776;,68592;-3.13694444;-58.44277777;19.16
2020-08-31;4,591346;67,4;34,023077;29,043077;24,353846;76,923077;3,08664;,77166;-3.13694444;-58.44277777;19.16
2020-09-30;4,879808;82,2;33,932;28,888;24,007692;78,192308;2,05776;,890377;-3.13694444;-58.44277777;19.16
2020-10-31;6,296296;184,7;33,533333;28,370769;23,896154;81,851852;2,05776;,91456;-3.13694444;-58.44277777;19.16
2020-11-30;6,268657;115;32,565385;27,845385;23,8;80,163462;3,08664;,921385;-3.13694444;-58.44277777;19.16
2020-12-31;6,86828;223,8;31,858065;27,448;23,53871;80,58871;3,08664;,972963;-3.13694444;-58.44277777;19.16

