Nome: ALTAMIRA
Codigo Estacao: 82353
Latitude: -3.214284
Longitude: -52.213044
Altitude: 101.51
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;7.106061;228.1;31.713636;26.372727;21.240909;81.977273;8;1.165152;-3.214284;-52.213044;101.51
2020-02-29;8.07377;277.4;31.82;26.232;21.285;83.5375;4.62996;1.079007;-3.214284;-52.213044;101.51
2020-03-31;7.605634;399.3;31.395455;26.348182;20.984;82.659091;4.62996;1.210021;-3.214284;-52.213044;101.51
2020-04-30;7.830882;382.8;31.195;26.111;21.1625;87.125;4.62996;.779225;-3.214284;-52.213044;101.51
2020-05-31;6.778169;294.2;32.385;27.206;21.56;82.725;4.62996;.688335;-3.214284;-52.213044;101.51
2020-06-30;6.227679;57.2;33.16087;27.321739;21.092;82.369565;4.11552;.64305;-3.214284;-52.213044;101.51
2020-07-31;5.138889;17.1;35.211111;28.391111;21.037037;74;3.08664;.504913;-3.214284;-52.213044;101.51
2020-08-31;5.120192;123;35.826923;28.51;20.819231;73.384615;3.60108;1.018987;-3.214284;-52.213044;101.51
2020-09-30;6.057692;48.4;35.326923;28.437692;21.015385;76.615385;4.62996;1.226742;-3.214284;-52.213044;101.51
2020-10-31;5.707547;21.2;35.792593;28.883846;21.246154;74;3.60108;1.533614;-3.214284;-52.213044;101.51
2020-11-30;7.3;295.5;32.904;27.0096;20.86;82.92;3.08664;.905414;-3.214284;-52.213044;101.51
2020-12-31;7.060185;160.8;32.307407;26.668889;20.559259;85.111111;3.60108;.905033;-3.214284;-52.213044;101.51

