Nome: TUCURUI
Codigo Estacao: 82361
Latitude: -3.76
Longitude: -49.66666666
Altitude: 27.83
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;7,291667;300,6;32,441935;26,549677;18,774194;83,419355;2,05776;,636926;-3.76;-49.66666666;27.83
2020-02-29;7,676282;326,1;31,965517;26,006207;18,413793;85,327586;2,05776;,573798;-3.76;-49.66666666;27.83
2020-03-31;7,202381;521,9;32,732258;26,451613;18,56129;83,629032;2,05776;,808406;-3.76;-49.66666666;27.83
2020-04-30;7,371795;356,4;33,036667;26,626207;18,6;83,683333;2,05776;,677237;-3.76;-49.66666666;27.83
2020-05-31;6,17378;298,4;33,790323;27,213548;18,735484;81,951613;2,05776;,602271;-3.76;-49.66666666;27.83
2020-06-30;3,695652;60,5;34,527586;27,595862;18,363333;76,732759;2,05776;,51444;-3.76;-49.66666666;27.83
2020-07-31;2,258065;25,6;35,848387;28,887586;22,282759;71,806452;1,54332;,597414;-3.76;-49.66666666;27.83
2020-08-31;2,318548;64,8;35,922581;29,312903;24,412903;70,516129;2,05776;,638901;-3.76;-49.66666666;27.83
2020-09-30;3,601695;37,7;35,803333;29,67;25,8;74,2;2,05776;,805956;-3.76;-49.66666666;27.83
2020-10-31;3,913934;34,1;35,509677;29,721333;25,83;72,967742;2,05776;,826477;-3.76;-49.66666666;27.83
2020-11-30;6,645833;331,6;32,386667;27,732;24,71;84,333333;2,5722;,591606;-3.76;-49.66666666;27.83
2020-12-31;6,536885;69,2;32,816129;28,141429;24,9;82,290323;2,05776;,614009;-3.76;-49.66666666;27.83

