Nome: ZE DOCA
Codigo Estacao: 82376
Latitude: -3.269212
Longitude: -45.651007
Altitude: 46.71
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;7,723881;412,5;31,251613;26,230323;22,709677;87,225806;null;null;-3.269212;-45.651007;46.71
2020-02-29;7,678571;404,4;31,493103;26,234483;22,710345;87,172414;null;null;-3.269212;-45.651007;46.71
2020-03-31;7,757937;281,7;31,741935;26,750968;23,158065;86,290323;null;null;-3.269212;-45.651007;46.71
2020-04-30;7,254098;386,5;31,866667;26,556;22,83;86,175;null;null;-3.269212;-45.651007;46.71
2020-05-31;6,336806;217,5;32,554839;27,565806;23,232258;81,016129;null;null;-3.269212;-45.651007;46.71
2020-06-30;4,459459;47,3;32,76;27,617333;22,96;74,633333;null;null;-3.269212;-45.651007;46.71
2020-07-31;3,521084;12,3;33,36129;27,792;22,183333;70,758065;null;null;-3.269212;-45.651007;46.71
2020-08-31;3,541667;0;34,470968;27,979355;21,709677;66,330645;null;null;-3.269212;-45.651007;46.71
2020-09-30;4,855114;12,3;34,833333;28,132667;22,093333;66,208333;null;null;-3.269212;-45.651007;46.71
2020-10-31;4,181034;20;35,76129;28,611333;22,483333;64,258065;null;null;-3.269212;-45.651007;46.71
2020-11-30;7,03125;190,8;33,313333;27,356667;22,736667;79,316667;null;null;-3.269212;-45.651007;46.71
2020-12-31;7,077703;135,3;32,580645;27,025161;22,506452;79,677419;null;null;-3.269212;-45.651007;46.71

