Nome: CHAPADINHA
Codigo Estacao: 82382
Latitude: -3.742684
Longitude: -43.3521
Altitude: 104
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;7.244624;579.9;31.790323;26.309677;23.554839;86.669355;null;null;-3.742684;-43.3521;104
2020-02-29;7.097701;393.7;31.765517;26.503448;23.734483;87.258621;null;null;-3.742684;-43.3521;104
2020-03-31;7.459677;336.1;30.987097;26.423226;23.845161;89.693548;null;null;-3.742684;-43.3521;104
2020-04-30;7.097222;442.4;31.753333;26.613333;23.953333;88.541667;null;null;-3.742684;-43.3521;104
2020-05-31;5.604839;190.1;31.877419;27.305806;24.074194;83.290323;null;null;-3.742684;-43.3521;104
2020-06-30;3.847222;127.5;31.46;27.051333;23.48;79.941667;null;null;-3.742684;-43.3521;104
2020-07-31;3.629032;7.1;32.051613;27.133548;22.964516;73.983871;null;null;-3.742684;-43.3521;104
2020-08-31;2.002688;0;33.574194;27.508387;22.312903;67.354839;null;null;-3.742684;-43.3521;104
2020-09-30;2.472222;0;35.026667;28.386;23.46;64.916667;null;null;-3.742684;-43.3521;104
2020-10-31;2.785326;0;35.76129;28.783333;24.053333;62.870968;null;null;-3.742684;-43.3521;104
2020-11-30;4.928977;201.8;33.59;28.136667;24.47;73.558333;null;null;-3.742684;-43.3521;104
2020-12-31;4.918478;150.3;32.993548;27.764667;24.296667;74.209677;null;null;-3.742684;-43.3521;104

