Nome: FORTALEZA
Codigo Estacao: 82397
Latitude: -3.81527777
Longitude: -38.53777777
Altitude: 29.89
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;7,688679;186,2;31,288889;27,668148;25,007407;81,037037;4,62996;1,805393;-3.81527777;-38.53777777;29.89
2020-02-29;7,825;345,4;30,888;27,2592;24,48;84,76;4,62996;1,409566;-3.81527777;-38.53777777;29.89
2020-03-31;7,379808;306,2;31,303846;27,38;24,65;85,769231;3,60108;1,078345;-3.81527777;-38.53777777;29.89
2020-04-30;7,596154;393,5;31,542308;27,316923;24,373077;87,269231;4,62996;1,365245;-3.81527777;-38.53777777;29.89
2020-05-31;6,415094;234,1;31,315385;27,296923;24,376923;84,115385;4,11552;1,650091;-3.81527777;-38.53777777;29.89
2020-06-30;6,789216;74,1;30,74;26,755;23,876;82,653846;4,62996;2,148544;-3.81527777;-38.53777777;29.89
2020-07-31;4,282407;60,8;30,785185;26,348148;23,096296;76,5;5,65884;2,553147;-3.81527777;-38.53777777;29.89
2020-08-31;3,848039;,4;31,548;26,7856;23,315385;72,44;8,23104;3,4296;-3.81527777;-38.53777777;29.89
2020-09-30;5,552885;5,3;31,665385;27,229231;24,238462;68,653846;5,1444;3,363646;-3.81527777;-38.53777777;29.89
2020-10-31;5,486111;15,9;32,151852;27,861481;24,881481;72,62963;6,68772;3,31528;-3.81527777;-38.53777777;29.89
2020-11-30;6,428571;16,1;32,275;28,3125;25,576;74,833333;5,1444;2,960655;-3.81527777;-38.53777777;29.89
2020-12-31;null;null;null;null;null;null;null;null;-3.81527777;-38.53777777;29.89

