Nome: BENJAMIN CONSTANT
Codigo Estacao: 82410
Latitude: -4.3786111
Longitude: -70.02999999
Altitude: 78.41
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;6,673387;271;31,535484;26,862581;23,63871;89,774194;2,05776;,910812;-4.3786111;-70.02999999;78.41
2020-02-29;7,00431;454,6;31,317241;26,86;23,806897;90,62069;2,05776;,709572;-4.3786111;-70.02999999;78.41
2020-03-31;6,038136;162;32,143333;27,353793;24,362069;89,033333;2,05776;,798269;-4.3786111;-70.02999999;78.41
2020-04-30;6,754808;417,8;31,757692;26,928462;23,580769;89,307692;2,05776;,831018;-4.3786111;-70.02999999;78.41
2020-05-31;7,051887;279,6;30,726923;26,220769;23,126923;90,846154;2,05776;,854165;-4.3786111;-70.02999999;78.41
2020-06-30;5,714286;261;31,492308;26,5896;23,304;89,038462;2,05776;,766616;-4.3786111;-70.02999999;78.41
2020-07-31;5,069444;241,4;32,255556;26,987407;23,337037;88,62963;2,05776;,895507;-4.3786111;-70.02999999;78.41
2020-08-31;4,97549;76,8;32,857692;27,173846;22,903846;83,076923;2,05776;,811232;-4.3786111;-70.02999999;78.41
2020-09-30;4,926471;160,4;32,980769;27,599231;23,938462;83,269231;2,05776;,77166;-4.3786111;-70.02999999;78.41
2020-10-31;5,671296;209,4;32,355556;27,517778;23,933333;82,444444;2,05776;,876453;-4.3786111;-70.02999999;78.41
2020-11-30;6,525;121,2;31,56;27,196667;24,033333;85,64;2,05776;,905414;-4.3786111;-70.02999999;78.41
2020-12-31;7,060185;280,6;30,525926;26,749231;23,942308;85,703704;2,05776;,704973;-4.3786111;-70.02999999;78.41

