Nome: ITAITUBA
Codigo Estacao: 82445
Latitude: -4.276986
Longitude: -55.993087
Altitude: 24.5
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;8.467742;324.7;32.141935;27.429032;24.580645;86.58871;5.1444;.796242;-4.276986;-55.993087;24.5
2020-02-29;8.531977;373.2;31.893103;27.218571;24.392857;87.060345;3.60108;.729787;-4.276986;-55.993087;24.5
2020-03-31;8.010753;419.5;32.767742;27.689032;24.735484;85.129032;5.65884;.807615;-4.276986;-55.993087;24.5
2020-04-30;8.708333;362.1;32.443333;27.464;24.596667;86.058333;4.62996;.554452;-4.276986;-55.993087;24.5
2020-05-31;7.822581;348.7;32.983871;27.723871;24.56129;86.564516;2.5722;.320834;-4.276986;-55.993087;24.5
2020-06-30;6.041667;71.1;34.62;28.641333;24.55;80.758333;4.62996;.394404;-4.276986;-55.993087;24.5
2020-07-31;5.108696;41.9;35.664516;28.818065;23.76129;76.758065;3.08664;.464655;-4.276986;-55.993087;24.5
2020-08-31;4.583333;17.3;36.722581;29.450323;23.977419;75.685484;2.05776;.453592;-4.276986;-55.993087;24.5
2020-09-30;5.828652;75.6;36.64;29.74;24.756667;74.583333;3.08664;.617328;-4.276986;-55.993087;24.5
2020-10-31;6.098901;132.4;35.909677;29.394;24.596667;76.443548;2.5722;.452931;-4.276986;-55.993087;24.5
2020-11-30;7.586207;67.8;33.756667;28.314667;24.79;83.083333;4.62996;.678125;-4.276986;-55.993087;24.5
2020-12-31;7.634409;204.5;33.273333;27.906667;24.270968;83.290323;3.60108;.658262;-4.276986;-55.993087;24.5

