Nome: BACABAL
Codigo Estacao: 82460
Latitude: -4.21805554
Longitude: -44.77583332
Altitude: 26.6
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;8.295455;401.2;33.863636;27.742727;23.259091;76.25;null;null;-4.21805554;-44.77583332;26.6
2020-02-29;8.136364;385.5;33.277778;27.678889;23.411111;78.805556;null;null;-4.21805554;-44.77583332;26.6
2020-03-31;8.415493;361.6;31.095455;26.987273;23.736;86.079545;null;null;-4.21805554;-44.77583332;26.6
2020-04-30;7.830882;406.2;31.985;27.043;22.804167;83.7125;null;null;-4.21805554;-44.77583332;26.6
2020-05-31;6.267606;84;33.42;28.6;23.668;74.425;null;null;-4.21805554;-44.77583332;26.6
2020-06-30;4.714912;18.2;32.5875;27.819167;22.44;75.166667;null;null;-4.21805554;-44.77583332;26.6
2020-07-31;3.958333;16.2;33.203704;27.444444;21.003704;72.925926;null;null;-4.21805554;-44.77583332;26.6
2020-08-31;3.990385;0;34.665385;27.982308;20.4;69;null;null;-4.21805554;-44.77583332;26.6
2020-09-30;5.216346;1;36.496154;29.086923;21.461538;69.038462;null;null;-4.21805554;-44.77583332;26.6
2020-10-31;6.132075;.4;37.057692;29.4032;21.815385;70.444444;null;null;-4.21805554;-44.77583332;26.6
2020-11-30;7.75;101.4;34.116;28.112;21.804;79.52;null;null;-4.21805554;-44.77583332;26.6
2020-12-31;7.638889;260.8;33.07037;27.227407;20.985185;83.074074;null;null;-4.21805554;-44.77583332;26.6

