Nome: CAXIAS
Codigo Estacao: 82476
Latitude: -4.86722221
Longitude: -43.35666666
Altitude: 96.67
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;null;null;null;null;null;null;null;null;-4.86722221;-43.35666666;96.67
2020-02-29;7.008929;239.8;31.75;26.785263;23.321053;80.05;null;null;-4.86722221;-43.35666666;96.67
2020-03-31;7.943548;510.7;31.8;26.452727;23.786364;85.159091;null;null;-4.86722221;-43.35666666;96.67
2020-04-30;7.266949;302.3;32.54;27.265;23.72;82.3625;null;null;-4.86722221;-43.35666666;96.67
2020-05-31;null;null;null;null;null;null;null;null;-4.86722221;-43.35666666;96.67
2020-06-30;null;null;null;null;null;null;null;null;-4.86722221;-43.35666666;96.67
2020-07-31;null;null;null;null;null;null;null;null;-4.86722221;-43.35666666;96.67
2020-08-31;null;null;null;null;null;null;null;null;-4.86722221;-43.35666666;96.67
2020-09-30;2.642857;4.9;38.096154;30.133077;23.626923;62.394231;null;null;-4.86722221;-43.35666666;96.67
2020-10-31;3.322785;11.1;38.396296;31.013043;25.073913;61.574074;null;null;-4.86722221;-43.35666666;96.67
2020-11-30;5.495283;23.9;35.528;29.536;25.288;72.9;null;null;-4.86722221;-43.35666666;96.67
2020-12-31;5.21875;67.8;null;null;25.288;null;null;null;-4.86722221;-43.35666666;96.67

