Nome: PIRIPIRI
Codigo Estacao: 82480
Latitude: -4.2761111
Longitude: -41.79444444
Altitude: 157.89
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;6,620879;198,7;32,744828;26,69931;23,677419;81,913793;5,65884;,489345;-4.2761111;-41.79444444;157.89
2020-02-29;6,37931;290,3;32,068966;26,311034;23,410345;86,068966;null;null;-4.2761111;-41.79444444;157.89
2020-03-31;null;null;31,322222;26,265556;23,915;88,375;null;null;-4.2761111;-41.79444444;157.89
2020-04-30;null;null;null;null;null;null;null;null;-4.2761111;-41.79444444;157.89
2020-05-31;null;null;null;null;null;null;null;null;-4.2761111;-41.79444444;157.89
2020-06-30;null;null;null;null;null;null;null;null;-4.2761111;-41.79444444;157.89
2020-07-31;null;null;null;null;null;null;null;null;-4.2761111;-41.79444444;157.89
2020-08-31;null;null;null;null;null;null;null;null;-4.2761111;-41.79444444;157.89
2020-09-30;null;null;null;null;null;null;null;null;-4.2761111;-41.79444444;157.89
2020-10-31;null;null;null;null;null;null;null;null;-4.2761111;-41.79444444;157.89
2020-11-30;null;null;34,811765;28,44;23,905882;71,926471;4,62996;null;-4.2761111;-41.79444444;157.89
2020-12-31;2,868852;44,1;35,4;28,608276;23,341935;70,103448;4,11552;1,281883;-4.2761111;-41.79444444;157.89

