Nome: MANICORE
Codigo Estacao: 82533
Latitude: -5.81777777
Longitude: -61.29083333
Altitude: 40.1
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;7,119565;182,9;33,276667;27,315862;24,05;84,083333;1,02888;,536807;-5.81777777;-61.29083333;40.1
2020-02-29;7,47093;463,8;32,742857;26,973571;23,989655;85,803571;1,02888;,574259;-5.81777777;-61.29083333;40.1
2020-03-31;7,233146;318,7;33,1;27,288148;23,86;83,689655;1,02888;,583032;-5.81777777;-61.29083333;40.1
2020-04-30;7,323529;295,1;32,189286;26,893333;24,07931;86,491071;1,02888;,575683;-5.81777777;-61.29083333;40.1
2020-05-31;6,752717;314,4;32,203226;26,718667;23,83;87,016129;2,05776;,587133;-5.81777777;-61.29083333;40.1
2020-06-30;4,291667;93;33,77;27,473333;23,336667;80,675;1,02888;,525872;-5.81777777;-61.29083333;40.1
2020-07-31;3,763441;149,4;34,506452;27,653548;23,193548;78,137097;4,11552;,409339;-5.81777777;-61.29083333;40.1
2020-08-31;3,346774;28,2;35,283871;27,923871;22,935484;73,169355;1,02888;,420403;-5.81777777;-61.29083333;40.1
2020-09-30;5,125;52,2;35,513333;27,933103;23,733333;76,108333;1,02888;,525872;-5.81777777;-61.29083333;40.1
2020-10-31;6,331522;129;34,453333;27,126667;23,325806;80,55;10,2888;,671009;-5.81777777;-61.29083333;40.1
2020-11-30;6,910112;391,6;33,086667;27,117241;23,52;83,991667;1,02888;,678125;-5.81777777;-61.29083333;40.1
2020-12-31;7,404891;223,3;32,380645;26,584667;23,413333;85,25;2,05776;,525623;-5.81777777;-61.29083333;40.1

