Nome: MARABA
Codigo Estacao: 82562
Latitude: -5.36611111
Longitude: -49.12527777
Altitude: 101.66
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;6,761364;341,8;31,559091;26,447273;21,172727;88,443182;null;null;-5.36611111;-49.12527777;101.66
2020-02-29;6,680328;274,1;31,785;26,563;21,31;89,85;null;null;-5.36611111;-49.12527777;101.66
2020-03-31;6,496479;291,1;31,986364;26,710909;21,252;85,5;null;null;-5.36611111;-49.12527777;101.66
2020-04-30;5,932836;230,2;32,88;27,011;21,458333;85,2875;null;null;-5.36611111;-49.12527777;101.66
2020-05-31;4,735915;69,3;33,61;27,867;21,844;82,2625;null;null;-5.36611111;-49.12527777;101.66
2020-06-30;3,080357;14,8;34,234783;27,81913;21;76,847826;null;null;-5.36611111;-49.12527777;101.66
2020-07-31;1,435185;,8;null;null;null;null;null;null;-5.36611111;-49.12527777;101.66
2020-08-31;2,572115;12,3;null;null;null;null;null;null;-5.36611111;-49.12527777;101.66
2020-09-30;2,932692;52,3;null;null;null;null;null;null;-5.36611111;-49.12527777;101.66
2020-10-31;4,926471;27,6;null;null;null;null;null;null;-5.36611111;-49.12527777;101.66
2020-11-30;5,9375;218,2;null;null;null;null;null;null;-5.36611111;-49.12527777;101.66
2020-12-31;5,486111;107,5;null;null;null;null;null;null;-5.36611111;-49.12527777;101.66

