Nome: IMPERATRIZ
Codigo Estacao: 82564
Latitude: -5.53638888
Longitude: -47.47888888
Altitude: 126.33
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;7,818182;288,5;32,140909;27,096364;23,659091;86,079545;null;null;-5.53638888;-47.47888888;126.33
2020-02-29;7,370833;374,9;32,910526;27,930667;24,10625;84,552632;null;null;-5.53638888;-47.47888888;126.33
2020-03-31;7,799296;679,3;32,513636;27,740952;23,15;85,306818;null;null;-5.53638888;-47.47888888;126.33
2020-04-30;6,966912;293,9;32,49;27,103;22,558333;87,1875;null;null;-5.53638888;-47.47888888;126.33
2020-05-31;4,84375;21,7;33,071429;27,726667;22,888;78,238095;null;null;-5.53638888;-47.47888888;126.33
2020-06-30;2,302632;0;34,058333;27,666667;21,82;77,958333;null;null;-5.53638888;-47.47888888;126.33
2020-07-31;1,550926;0;35,988462;27,583077;20,72963;79,074074;null;null;-5.53638888;-47.47888888;126.33
2020-08-31;1,610577;0;37,084615;28,950769;21,123077;77,423077;null;null;-5.53638888;-47.47888888;126.33
2020-09-30;2,115385;0;37,973077;null;null;73,846154;null;null;-5.53638888;-47.47888888;126.33
2020-10-31;4,787736;23,2;37,196296;null;null;75,148148;null;null;-5.53638888;-47.47888888;126.33
2020-11-30;6,65;84,2;33,172;null;null;87,04;null;null;-5.53638888;-47.47888888;126.33
2020-12-31;6,62037;200;33,3;null;null;88,407407;null;null;-5.53638888;-47.47888888;126.33

