Nome: BARRA DO CORDA
Codigo Estacao: 82571
Latitude: -5.50638888
Longitude: -45.23722221
Altitude: 154.17
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;6.965909;291.5;32.027273;26.991818;23.109091;81.886364;4.11552;.998123;-5.50638888;-45.23722221;154.17
2020-02-29;6.70082;265.3;32.068421;27.121053;23.885;83.9;4.62996;.767443;-5.50638888;-45.23722221;154.17
2020-03-31;7.339286;241.3;31.463636;26.521818;23.72;87.352273;4.62996;.617328;-5.50638888;-45.23722221;154.17
2020-04-30;6.73913;123.6;32.085;26.914;23.796;85.15;4.11552;.703572;-5.50638888;-45.23722221;154.17
2020-05-31;5.264085;22;33.67;27.912;24.112;78.3;5.65884;1.304214;-5.50638888;-45.23722221;154.17
2020-06-30;3.291667;13.8;33.88;26.8824;21.838462;77.91;5.1444;1.438688;-5.50638888;-45.23722221;154.17
2020-07-31;2.106481;.5;35.203704;27.155556;20.485185;70.62963;4.62996;.866927;-5.50638888;-45.23722221;154.17
2020-08-31;2.956731;0;36.55;28.443077;21.003846;59.423077;5.1444;1.41471;-5.50638888;-45.23722221;154.17
2020-09-30;null;null;null;null;null;null;null;null;-5.50638888;-45.23722221;154.17
2020-10-31;4.471154;27.9;37.1;30.148462;24.719231;62.481481;3.60108;.831018;-5.50638888;-45.23722221;154.17
2020-11-30;6.425;60.5;33.68;28.1296;24.12;78.32;null;null;-5.50638888;-45.23722221;154.17
2020-12-31;6.550926;143.1;33.57037;27.600741;23.903704;83.592593;null;null;-5.50638888;-45.23722221;154.17

