Nome: TERESINA
Codigo Estacao: 82578
Latitude: -5.03472221
Longitude: -42.80138888
Altitude: 75.73
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;8,287037;180,4;null;null;23,559259;null;4,11552;,952667;-5.03472221;-42.80138888;75.73
2020-02-29;8,55;337,9;null;null;22,916;null;5,1444;,781949;-5.03472221;-42.80138888;75.73
2020-03-31;8,822115;371,2;null;null;23,25;null;2,5722;,801339;-5.03472221;-42.80138888;75.73
2020-04-30;8,466981;196,4;null;null;23,85;null;2,5722;,931816;-5.03472221;-42.80138888;75.73
2020-05-31;6,642157;62,8;null;null;23,656;null;3,08664;,847313;-5.03472221;-42.80138888;75.73
2020-06-30;3,509615;58,8;null;null;22,134615;null;3,08664;1,098132;-5.03472221;-42.80138888;75.73
2020-07-31;2,091346;1,3;null;null;20,648148;null;4,11552;1,216848;-5.03472221;-42.80138888;75.73
2020-08-31;3,382353;,3;null;null;20;null;4,11552;1,149925;-5.03472221;-42.80138888;75.73
2020-09-30;3,210784;,8;null;null;21,7;null;5,1444;1,331492;-5.03472221;-42.80138888;75.73
2020-10-31;4,127358;1,1;null;null;23,585185;null;3,08664;,912403;-5.03472221;-42.80138888;75.73
2020-11-30;7,975;101,6;null;null;24,488;null;5,1444;,843682;-5.03472221;-42.80138888;75.73
2020-12-31;7,572115;35,1;null;null;23,915385;null;2,5722;,989308;-5.03472221;-42.80138888;75.73

