Nome: QUIXERAMOBIM
Codigo Estacao: 82586
Latitude: -5.17305554
Longitude: -39.28722221
Altitude: 227.33
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;7,826087;77,8;35,29;28,731333;23,883871;67,183333;5,1444;2,885337;-5.17305554;-39.28722221;227.33
2020-02-29;8,676471;128;33,234483;27,215172;23,227586;76,051724;5,1444;2,650879;-5.17305554;-39.28722221;227.33
2020-03-31;8,967391;186,4;31,858065;26,467097;22,716129;80,709677;5,1444;2,242727;-5.17305554;-39.28722221;227.33
2020-04-30;8,304598;149;31,728571;26,65;22,753333;80,339286;6,17328;2,451529;-5.17305554;-39.28722221;227.33
2020-05-31;8,019663;155;31,590323;26,106452;22,296774;82,975806;5,1444;2,262296;-5.17305554;-39.28722221;227.33
2020-06-30;7,068966;43,6;31,193103;25,611034;21,54;76,25;5,1444;2,413911;-5.17305554;-39.28722221;227.33
2020-07-31;5,710227;76,7;31,964286;25,901429;21,432258;67,758929;5,1444;2,735315;-5.17305554;-39.28722221;227.33
2020-08-31;4,375;0;34,772414;27,511429;21,626667;58,534483;5,1444;3,732681;-5.17305554;-39.28722221;227.33
2020-09-30;4,156977;0;35,415385;28,1264;21,928571;56,37037;5,1444;4,095213;-5.17305554;-39.28722221;227.33
2020-10-31;4,375;0;36,607692;28,788333;22,882759;55,615385;5,1444;4,010153;-5.17305554;-39.28722221;227.33
2020-11-30;5,926471;0;36,27931;29,094074;23,707143;58,939655;5,1444;4,160534;-5.17305554;-39.28722221;227.33
2020-12-31;8,113636;0;null;null;24,003704;null;5,1444;3,065642;-5.17305554;-39.28722221;227.33

