Nome: MORADA NOVA
Codigo Estacao: 82588
Latitude: -5.13666666
Longitude: -38.35666666
Altitude: 45.02
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;7,199074;141,6;34,111111;27,847407;21,896296;82,296296;3,60108;1,991073;-5.13666666;-38.35666666;45.02
2020-02-29;7,2;52,1;34,248;27,5664;21,86;85,6;3,08664;1,697652;-5.13666666;-38.35666666;45.02
2020-03-31;7,720588;321,1;32,529167;27,034167;21,965385;91,28;3,60108;1,311318;-5.13666666;-38.35666666;45.02
2020-04-30;7,331731;116,1;33,007692;27,258462;21,953846;88,923077;3,08664;1,563106;-5.13666666;-38.35666666;45.02
2020-05-31;7,075472;66,1;32,346154;26,705385;21,065385;88,730769;3,60108;1,756861;-5.13666666;-38.35666666;45.02
2020-06-30;6,813725;82,2;32,146154;26,209231;19,734615;85,307692;3,60108;1,704713;-5.13666666;-38.35666666;45.02
2020-07-31;null;null;null;null;null;null;null;null;-5.13666666;-38.35666666;45.02
2020-08-31;4,681373;3,8;34,642308;26,7848;18,86;74,038462;5,1444;2,410807;-5.13666666;-38.35666666;45.02
2020-09-30;4,711538;,2;36,123077;27,493846;19,023077;70,730769;3,60108;2,354552;-5.13666666;-38.35666666;45.02
2020-10-31;5,259434;0;35,988889;27,703846;19,711538;75,481481;3,60108;2,387778;-5.13666666;-38.35666666;45.02
2020-11-30;5,55;24,6;33,364;27,653043;20,458333;75,416667;3,60108;2,273825;-5.13666666;-38.35666666;45.02
2020-12-31;5,825472;22,3;32,2;27,7648;20,855556;70,230769;3,08664;2,115998;-5.13666666;-38.35666666;45.02

