Nome: APODI
Codigo Estacao: 82590
Latitude: -5.62666666
Longitude: -37.815
Altitude: 131.37
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;8.008242;73.6;35.212903;28.574667;24.863333;70.241935;4.62996;1.871205;-5.62666666;-37.815;131.37
2020-02-29;8.706395;259.8;33.457143;27.584286;24.210345;78.767857;3.60108;1.38181;-5.62666666;-37.815;131.37
2020-03-31;8.892045;179.4;31.973333;27.002;24.341935;84.083333;3.08664;1.210103;-5.62666666;-37.815;131.37
2020-04-30;8.520833;201.6;31.986667;27.086667;23.95;87.866667;3.60108;1.639233;-5.62666666;-37.815;131.37
2020-05-31;7.708333;149.6;31.507143;26.712143;23.625806;87.689655;7.7166;1.791966;-5.62666666;-37.815;131.37
2020-06-30;7.520833;51.6;31.363333;26.348667;22.646667;82.933333;4.11552;1.809114;-5.62666666;-37.815;131.37
2020-07-31;5.181452;42.8;32.387097;26.136774;21.609677;78.580645;4.62996;1.883514;-5.62666666;-37.815;131.37
2020-08-31;3.895833;0;34.989655;27.237931;21.429032;69.413793;7.7166;2.855142;-5.62666666;-37.815;131.37
2020-09-30;2.875;0;36.096667;27.968276;22.656667;66.866667;6.68772;3.249546;-5.62666666;-37.815;131.37
2020-10-31;3.165323;0;36.993333;28.702;23.216129;67.775862;4.62996;2.671769;-5.62666666;-37.815;131.37
2020-11-30;4.008621;3.1;36.61;28.995714;24.182143;69.066667;4.11552;2.598809;-5.62666666;-37.815;131.37
2020-12-31;5.8125;.4;36.543333;28.974286;24.075862;67.724138;3.60108;2.503608;-5.62666666;-37.815;131.37

