Nome: NATAL
Codigo Estacao: 82598
Latitude: -5.83722221
Longitude: -35.20777777
Altitude: 47.68
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;7.163978;184.7;29.925806;27.822581;25.46129;81.395161;7.7166;3.971698;-5.83722221;-35.20777777;47.68
2020-02-29;6.738506;202.4;30.431034;28.272414;25.77931;81.793103;8.23104;3.790299;-5.83722221;-35.20777777;47.68
2020-03-31;6.506849;322.7;30.616667;28.118333;25.195833;79.4375;5.65884;2.917509;-5.83722221;-35.20777777;47.68
2020-04-30;null;null;null;null;null;null;null;null;-5.83722221;-35.20777777;47.68
2020-05-31;null;null;null;null;null;null;null;null;-5.83722221;-35.20777777;47.68
2020-06-30;null;null;null;null;null;null;null;null;-5.83722221;-35.20777777;47.68
2020-07-31;null;null;null;null;null;null;null;null;-5.83722221;-35.20777777;47.68
2020-08-31;null;null;null;null;null;null;null;null;-5.83722221;-35.20777777;47.68
2020-09-30;null;null;null;null;null;null;null;null;-5.83722221;-35.20777777;47.68
2020-10-31;null;null;null;null;null;null;null;null;-5.83722221;-35.20777777;47.68
2020-11-30;null;null;null;null;null;null;null;null;-5.83722221;-35.20777777;47.68
2020-12-31;null;null;null;null;null;null;null;null;-5.83722221;-35.20777777;47.68

