Nome: EIRUNEPE
Codigo Estacao: 82610
Latitude: -6.66166666
Longitude: -69.86777777
Altitude: 123.42
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;5.655738;253;33.116667;27.051333;22.832258;89.433333;0;0;-6.66166666;-69.86777777;123.42
2020-02-29;6.522989;250.8;32.403448;26.706897;23.027586;86.853448;2.05776;.047305;-6.66166666;-69.86777777;123.42
2020-03-31;7.046703;318;32.822581;26.749655;23.133333;86.048387;2.05776;.022613;-6.66166666;-69.86777777;123.42
2020-04-30;6.519886;240.2;32.15;26.586429;22.82;85.669643;6.17328;.105226;-6.66166666;-69.86777777;123.42
2020-05-31;6.057692;116.2;31.823333;25.837857;21.627586;85.391667;2.05776;.135676;-6.66166666;-69.86777777;123.42
2020-06-30;5.458333;60.4;32.162069;26.126923;22;84.922414;2.05776;.022864;-6.66166666;-69.86777777;123.42
2020-07-31;5.215054;112.6;32.532258;26.052258;21.645161;84.701613;2.05776;.022126;-6.66166666;-69.86777777;123.42
2020-08-31;4.825269;90.6;33.667742;25.881379;20.617241;82.427419;2.05776;.066379;-6.66166666;-69.86777777;123.42
2020-09-30;5.527778;121.8;33.65;26.678;22.18;84.183333;0;0;-6.66166666;-69.86777777;123.42
2020-10-31;5.900538;149.8;33.429032;26.892903;22.474194;84.379032;0;0;-6.66166666;-69.86777777;123.42
2020-11-30;6.519886;249.4;33.623333;26.96069;22.786207;85.125;1.02888;.011692;-6.66166666;-69.86777777;123.42
2020-12-31;6.317935;294.7;32.006897;26.286897;22.490323;87.441667;0;0;-6.66166666;-69.86777777;123.42

