Nome: ARAGUAINA
Codigo Estacao: 82659
Latitude: -7.103778
Longitude: -48.20133
Altitude: 231.85
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;7.150538;184.8;31.33871;25.945161;22.783871;84.475806;4.62996;.979095;-7.103778;-48.20133;231.85
2020-02-29;6.752874;282.4;31.548276;25.909655;22.644828;85.017241;1.02888;.875139;-7.103778;-48.20133;231.85
2020-03-31;7.372159;571.9;31.77;26.077857;22.931034;86.075;1.54332;.906116;-7.103778;-48.20133;231.85
2020-04-30;7.130682;241;31.76;26.101538;22.728571;87.358333;1.02888;.911962;-7.103778;-48.20133;231.85
2020-05-31;4.610215;42.6;33.545161;26.981333;22.506667;79.209677;1.54332;.862932;-7.103778;-48.20133;231.85
2020-06-30;2.277778;3.2;33.536667;25.596667;19.6;71.041667;1.02888;.903128;-7.103778;-48.20133;231.85
2020-07-31;1.276882;0;34.558065;24.909032;17.119355;60.306452;1.54332;.923779;-7.103778;-48.20133;231.85
2020-08-31;2.771739;.7;35.836667;26.112;18.022581;55.330645;1.54332;.917045;-7.103778;-48.20133;231.85
2020-09-30;2.958333;40;36.593333;27.315333;19.15;52.041667;1.54332;.863116;-7.103778;-48.20133;231.85
2020-10-31;5.013441;34.1;34.593548;27.173548;21.458065;69.395161;1.54332;.923779;-7.103778;-48.20133;231.85
2020-11-30;6.541667;174.5;32.58;26.451724;22.086667;78.866667;1.02888;.880264;-7.103778;-48.20133;231.85
2020-12-31;7.137097;193.4;32.354839;26.022;21.748387;81.5;1.02888;.907185;-7.103778;-48.20133;231.85

