Nome: SAO FELIX DO XINGU
Codigo Estacao: 82668
Latitude: -6.63083332
Longitude: -51.9761111
Altitude: 195.98
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;8,465909;407,7;31,695455;26,030909;22,554545;85,681818;3,08664;1,309046;-6.63083332;-51.9761111;195.98
2020-02-29;8,586066;219;31,955;26,038;22,76;87,8;2,05776;1,265016;-6.63083332;-51.9761111;195.98
2020-03-31;8,293919;243,9;31,728;26,1672;22,592;85,8;3,08664;1,348667;-6.63083332;-51.9761111;195.98
2020-04-30;8,576389;366,8;31,5125;25,890833;22,475;86,364583;4,11552;1,350405;-6.63083332;-51.9761111;195.98
2020-05-31;5,359589;226,2;32,704348;26,33913;22,64;84,836957;3,08664;1,324859;-6.63083332;-51.9761111;195.98
2020-06-30;3,333333;21,4;33,258333;26,1725;21,004;85,71875;3,08664;1,137183;-6.63083332;-51.9761111;195.98
2020-07-31;2,037037;0;35,081481;26,497778;19,625926;79,185185;1,54332;1,0003;-6.63083332;-51.9761111;195.98
2020-08-31;2,475962;7,2;36,780769;27,879231;19,911538;72,615385;1,02888;,890377;-6.63083332;-51.9761111;195.98
2020-09-30;3,533654;95;36,707692;28,289231;21,007692;74,269231;2,05776;,811232;-6.63083332;-51.9761111;195.98
2020-10-31;5;105,6;34,481481;27,483077;21,976923;82,962963;2,05776;1,009467;-6.63083332;-51.9761111;195.98
2020-11-30;7,825;125;32,848;26,5296;22,492;88;2,05776;1,090613;-6.63083332;-51.9761111;195.98
2020-12-31;7,546296;122,2;32,385185;26,222222;22,207407;88,333333;2,05776;1,124147;-6.63083332;-51.9761111;195.98

