Nome: COLINAS
Codigo Estacao: 82676
Latitude: -6.03305554
Longitude: -44.23333333
Altitude: 175.56
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;7.862903;384.8;32.651613;26.773548;22.506452;81.41129;null;null;-6.03305554;-44.23333333;175.56
2020-02-29;8.08908;246.4;32.539286;26.542857;22.97931;85.198276;null;null;-6.03305554;-44.23333333;175.56
2020-03-31;8.283333;459.8;31.321739;26.036522;22.603846;86.576087;null;null;-6.03305554;-44.23333333;175.56
2020-04-30;7.165698;163.8;32.267857;26.655;22.968966;84.625;null;null;-6.03305554;-44.23333333;175.56
2020-05-31;5.837912;3.4;33.753333;27.273793;22.756667;76.85;null;null;-6.03305554;-44.23333333;175.56
2020-06-30;4.125;4.2;34.523333;26.726667;20.813333;68.075;null;null;-6.03305554;-44.23333333;175.56
2020-07-31;3.464674;0;35.026667;26.314;18.503226;60.241667;null;null;-6.03305554;-44.23333333;175.56
2020-08-31;3.953804;0;36.087097;27.545161;19.622581;54.290323;null;null;-6.03305554;-44.23333333;175.56
2020-09-30;3.986111;0;37.746667;29.465333;21.9;48.583333;null;null;-6.03305554;-44.23333333;175.56
2020-10-31;5.720109;92.4;37.729032;29.885333;23.956667;57.733871;null;null;-6.03305554;-44.23333333;175.56
2020-11-30;7.059659;239.6;33.77;27.51;23.24;75.541667;null;null;-6.03305554;-44.23333333;175.56
2020-12-31;7.540323;28.6;33.787097;27.385161;23.029032;75.41129;null;null;-6.03305554;-44.23333333;175.56

