Nome: TAUA
Codigo Estacao: 82683
Latitude: -6.00638888
Longitude: -40.29972221
Altitude: 401.89
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;7,03629;175,2;32,777419;26,948387;21,690323;74,806452;4,11552;1,709268;-6.00638888;-40.29972221;401.89
2020-02-29;7,45614;182,2;31,471429;25,698571;20,906897;83,5;5,1444;1,931406;-6.00638888;-40.29972221;401.89
2020-03-31;6,854839;226;31,135484;25,496774;20,593548;86,193548;3,08664;1,410561;-6.00638888;-40.29972221;401.89
2020-04-30;5,520833;79,4;31,133333;25,918;20,79;82,166667;3,08664;1,611912;-6.00638888;-40.29972221;401.89
2020-05-31;5,342742;99,6;30,680645;25,339355;19,912903;78,322581;5,1444;1,676079;-6.00638888;-40.29972221;401.89
2020-06-30;3,625;5,8;31,26;25,083333;18,693333;69,033333;6,17328;2,212092;-6.00638888;-40.29972221;401.89
2020-07-31;2,883065;0;33,074194;26,223871;19,26129;55,064516;7,20216;2,555605;-6.00638888;-40.29972221;401.89
2020-08-31;2,375;0;34,051724;26,981379;19,493548;53,965517;7,20216;2,606496;-6.00638888;-40.29972221;401.89
2020-09-30;2,729167;0;34,916667;28;20,796667;50,966667;7,20216;2,503608;-6.00638888;-40.29972221;401.89
2020-10-31;3,015873;3;35,967742;29,047742;21,858065;48,354839;7,20216;2,204743;-6.00638888;-40.29972221;401.89
2020-11-30;4,618644;49,9;34,083333;28,14;21,944828;58,5;6,17328;2,144953;-6.00638888;-40.29972221;401.89
2020-12-31;4,181034;0;34,146429;28,304286;22,696552;54,142857;7,20216;2,244023;-6.00638888;-40.29972221;401.89

