Nome: IGUATU
Codigo Estacao: 82686
Latitude: -6.39638888
Longitude: -39.26888888
Altitude: 221.58
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;7,5;57,4;null;null;23,97037;null;5,1444;2,020346;-6.39638888;-39.26888888;221.58
2020-02-29;7,125;303,1;null;null;22,82;null;4,62996;1,553609;-6.39638888;-39.26888888;221.58
2020-03-31;7,5;383,4;null;null;22,703846;null;5,1444;1,426843;-6.39638888;-39.26888888;221.58
2020-04-30;6,27451;169,5;null;null;22,6375;null;5,1444;1,835845;-6.39638888;-39.26888888;221.58
2020-05-31;5,925;99,2;null;null;22,1;null;4,62996;1,862273;-6.39638888;-39.26888888;221.58
2020-06-30;4,85;14,6;null;null;20,3;null;3,60108;1,913717;-6.39638888;-39.26888888;221.58
2020-07-31;4,074074;5,3;null;null;19,576923;null;6,68772;3,077113;-6.39638888;-39.26888888;221.58
2020-08-31;2,941176;0;null;null;19,642308;null;8,23104;3,661602;-6.39638888;-39.26888888;221.58
2020-09-30;3,259804;0;null;null;21,592;null;6,68772;3,389252;-6.39638888;-39.26888888;221.58
2020-10-31;3,533654;26,1;null;null;22,35;null;5,65884;2,750275;-6.39638888;-39.26888888;221.58
2020-11-30;5,95;100,3;null;null;22,472;null;4,62996;1,924006;-6.39638888;-39.26888888;221.58
2020-12-31;5,859375;11,9;null;null;22,891667;null;6,17328;2,550765;-6.39638888;-39.26888888;221.58

