Nome: SAO GONCALO
Codigo Estacao: 82689
Latitude: -6.83583333
Longitude: -38.31166666
Altitude: 237.04
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;6,589674;126,2;34,358065;28,502667;24,373333;77,16129;6,17328;1,9627;-6.83583333;-38.31166666;237.04
2020-02-29;6,656977;284,9;33,024138;27,588966;23,758621;83,525862;5,65884;1,722776;-6.83583333;-38.31166666;237.04
2020-03-31;7,056452;293,3;32,287097;26,902581;23,667742;88,145161;5,1444;1,421625;-6.83583333;-38.31166666;237.04
2020-04-30;6,321023;233,1;32,333333;26,987857;23,5;84,25;4,62996;1,666084;-6.83583333;-38.31166666;237.04
2020-05-31;6,141304;114,7;31,373333;26,206897;22,870968;84,916667;3,60108;1,789357;-6.83583333;-38.31166666;237.04
2020-06-30;4,166667;71,1;30,79;25,19931;21,010345;82,633333;4,62996;2,092441;-6.83583333;-38.31166666;237.04
2020-07-31;3,111413;6,2;32,17;25,625333;20,419355;71,266667;5,65884;2,767911;-6.83583333;-38.31166666;237.04
2020-08-31;2,82967;0;34,14;26,992;20,33871;58,833333;6,17328;3,041415;-6.83583333;-38.31166666;237.04
2020-09-30;1,643258;0;35,35;27,790714;21,917241;60,8;7,20216;3,184904;-6.83583333;-38.31166666;237.04
2020-10-31;2,293956;0;36,623333;29,008;22,887097;58,833333;5,1444;2,973576;-6.83583333;-38.31166666;237.04
2020-11-30;5,142045;22,4;35,106897;28,712857;23,741379;69,625;6,17328;2,595584;-6.83583333;-38.31166666;237.04
2020-12-31;5,013889;12,7;35,51;28,962;23,832258;66,8;5,65884;2,4293;-6.83583333;-38.31166666;237.04

