Nome: SERIDO (CAICO)
Codigo Estacao: 82690
Latitude: -6.46749999
Longitude: -37.08499999
Altitude: 171.26
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;6.46978;84.3;36.383871;29.886667;24.87;60.580645;5.1444;.78014;-6.46749999;-37.08499999;171.26
2020-02-29;7.471264;249.7;34.689655;28.502759;24.296552;70.801724;3.08664;.646041;-6.46749999;-37.08499999;171.26
2020-03-31;7.382813;176.7;33.517647;27.7175;23.953571;79.294118;5.1444;.522873;-6.46749999;-37.08499999;171.26
2020-04-30;6.696429;201.3;null;null;23.437931;null;3.08664;1.580066;-6.46749999;-37.08499999;171.26
2020-05-31;null;null;null;null;22.789655;null;null;null;-6.46749999;-37.08499999;171.26
2020-06-30;4.836957;null;null;null;21.152174;null;5.1444;2.013026;-6.46749999;-37.08499999;171.26
2020-07-31;3.709677;20.6;null;null;20.912903;null;5.1444;2.240303;-6.46749999;-37.08499999;171.26
2020-08-31;4.166667;0;null;null;20.863333;null;5.1444;2.606496;-6.46749999;-37.08499999;171.26
2020-09-30;3.208333;3.7;null;null;22.124138;null;5.1444;2.74368;-6.46749999;-37.08499999;171.26
2020-10-31;4.153226;5.2;null;null;22.996667;null;5.1444;2.09095;-6.46749999;-37.08499999;171.26
2020-11-30;null;null;null;null;null;null;null;null;-6.46749999;-37.08499999;171.26
2020-12-31;6.594828;55.6;null;null;23.727586;null;3.08664;1.135316;-6.46749999;-37.08499999;171.26

