Nome: CRUZETA
Codigo Estacao: 82693
Latitude: -6.42638888
Longitude: -36.79138888
Altitude: 226.33
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;6,365741;72,2;35,425926;28,951852;24,151852;65,740741;5,1444;2,562673;-6.42638888;-36.79138888;226.33
2020-02-29;7,275;50,9;36,156;28,9176;24,368;69,76;3,60108;2,551622;-6.42638888;-36.79138888;226.33
2020-03-31;7,5;135,2;33,138462;27,5288;24;80,923077;3,08664;1,502972;-6.42638888;-36.79138888;226.33
2020-04-30;7,091346;152,2;33,6;27,443846;23,219231;80,653846;3,60108;1,810433;-6.42638888;-36.79138888;226.33
2020-05-31;6,580189;154,5;32,953846;27,084615;22,519231;76,692308;5,1444;2,426604;-6.42638888;-36.79138888;226.33
2020-06-30;4,95098;43,1;32,146154;26,177692;21,369231;73,576923;5,65884;2,794115;-6.42638888;-36.79138888;226.33
2020-07-31;3,703704;15,6;33,025926;26,166667;20,266667;64,703704;5,65884;2,734153;-6.42638888;-36.79138888;226.33
2020-08-31;3,112745;0;34,156;26,9688;20,769231;57,08;5,65884;3,893605;-6.42638888;-36.79138888;226.33
2020-09-30;2,668269;3,7;34,8;27,5848;21,65;56,384615;8,23104;3,328729;-6.42638888;-36.79138888;226.33
2020-10-31;3,37963;,2;36,811538;28,996923;22,648148;54,851852;5,1444;2,981847;-6.42638888;-36.79138888;226.33
2020-11-30;4,285714;3,2;36,708333;29,430909;24,191304;56,791667;5,65884;2,992151;-6.42638888;-36.79138888;226.33
2020-12-31;4,386792;,4;36,514815;29,334167;23,876923;53,888889;8,23104;3,251649;-6.42638888;-36.79138888;226.33

