Nome: AREIA
Codigo Estacao: 82696
Latitude: -6.97555554
Longitude: -35.71805554
Altitude: 571.75
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;6.935484;19.6;30.951613;24.593548;21.8;79.193548;5.65884;3.562359;-6.97555554;-35.71805554;571.75
2020-02-29;7.126437;24.5;30.921429;24.932857;22.110345;80.422414;6.17328;3.949953;-6.97555554;-35.71805554;571.75
2020-03-31;null;null;29.578947;24.457895;21.88;84.947368;4.62996;null;-6.97555554;-35.71805554;571.75
2020-04-30;null;null;null;null;null;null;null;null;-6.97555554;-35.71805554;571.75
2020-05-31;null;null;null;null;null;null;null;null;-6.97555554;-35.71805554;571.75
2020-06-30;null;null;null;null;null;null;null;null;-6.97555554;-35.71805554;571.75
2020-07-31;null;null;null;null;null;null;null;null;-6.97555554;-35.71805554;571.75
2020-08-31;null;null;null;null;null;null;null;null;-6.97555554;-35.71805554;571.75
2020-09-30;null;null;null;null;null;null;null;null;-6.97555554;-35.71805554;571.75
2020-10-31;null;null;null;null;null;null;null;null;-6.97555554;-35.71805554;571.75
2020-11-30;null;null;null;null;null;null;null;null;-6.97555554;-35.71805554;571.75
2020-12-31;null;null;null;null;null;null;null;null;-6.97555554;-35.71805554;571.75

