Nome: LABREA
Codigo Estacao: 82723
Latitude: -7.26138888
Longitude: -64.78999999
Altitude: 62.23
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;null;null;null;null;null;null;null;null;-7.26138888;-64.78999999;62.23
2020-02-29;8.218085;null;32.412;27.195652;23.965217;93.291667;4.11552;1.291573;-7.26138888;-64.78999999;62.23
2020-03-31;7.842262;255.5;32.456667;27.074483;23.71;91.41129;4.11552;1.635184;-7.26138888;-64.78999999;62.23
2020-04-30;7.514205;229.1;32.151724;26.825185;23.678571;89.577586;6.17328;1.707005;-7.26138888;-64.78999999;62.23
2020-05-31;6.538462;140.1;31.912903;26.491724;22.448276;89.693548;6.17328;1.634776;-7.26138888;-64.78999999;62.23
2020-06-30;5.351124;64.6;32.903448;26.665185;22.534483;86.583333;6.17328;1.851984;-7.26138888;-64.78999999;62.23
2020-07-31;4.068182;34.4;33.707692;26.758462;21.766667;91.111111;6.17328;1.352787;-7.26138888;-64.78999999;62.23
2020-08-31;3.55;6;34.668966;26.946923;20.976923;82.383929;7.20216;1.563898;-7.26138888;-64.78999999;62.23
2020-09-30;5.708333;149.5;34.53;27.594483;22.8;83.5;5.1444;2.080624;-7.26138888;-64.78999999;62.23
2020-10-31;6.888587;150.8;33.916129;27.02069;23.072414;84.822581;5.1444;2.012535;-7.26138888;-64.78999999;62.23
2020-11-30;7.329545;142.4;33.016667;27.092;23.6;87.075;11.83212;2.355901;-7.26138888;-64.78999999;62.23
2020-12-31;8.244382;181.8;31.77931;26.348889;23.39;89.293103;6.17328;2.332926;-7.26138888;-64.78999999;62.23

