Nome: OURICURI
Codigo Estacao: 82753
Latitude: -7.87944443
Longitude: -40.09194444
Altitude: 462.01
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;6,680108;118,6;32,522581;26,948;22,3;67,548387;5,65884;2,716022;-7.87944443;-40.09194444;462.01
2020-02-29;6,925287;260,9;30,986207;25,706207;21,689655;77,077586;8,23104;2,5722;-7.87944443;-40.09194444;462.01
2020-03-31;8,150685;169,5;30,348387;25,423871;22,367742;85,137097;5,65884;2,825896;-7.87944443;-40.09194444;462.01
2020-04-30;7,298851;150,8;30,262069;25,11931;21,456667;81,551724;6,17328;3,016489;-7.87944443;-40.09194444;462.01
2020-05-31;6,861413;37,6;29,532258;24,499355;20,870968;78,879032;5,65884;3,018802;-7.87944443;-40.09194444;462.01
2020-06-30;6,555556;19,5;29,65;23,817333;19,573333;71,691667;8,23104;4,081224;-7.87944443;-40.09194444;462.01
2020-07-31;5,094086;1,3;30,245161;23,585806;17,967742;61,822581;8,23104;4,159773;-7.87944443;-40.09194444;462.01
2020-08-31;3,914835;,1;31,173333;24,827586;19,236667;54,791667;6,17328;3,844167;-7.87944443;-40.09194444;462.01
2020-09-30;3,472222;0;33,13;26,081429;19,473333;53,175;8,23104;3,913212;-7.87944443;-40.09194444;462.01
2020-10-31;3,916667;4,1;35,782759;28,46;21,887097;51,862069;8,23104;3,178096;-7.87944443;-40.09194444;462.01
2020-11-30;6,363636;19,6;33,496667;27,325517;22,410345;63,066667;8,23104;3,25812;-7.87944443;-40.09194444;462.01
2020-12-31;5,722222;15,2;33,976667;27,984;22,545161;58,208333;8,23104;3,218108;-7.87944443;-40.09194444;462.01

