Nome: CAROLINA
Codigo Estacao: 82765
Latitude: -7.33722221
Longitude: -47.45972222
Altitude: 182.94
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;7,583333;565,4;32,509091;27,339091;23,370968;83,830645;null;null;-7.33722221;-47.45972222;182.94
2020-02-29;6,867816;301,5;null;null;23,327586;83,163793;null;null;-7.33722221;-47.45972222;182.94
2020-03-31;7,540323;552,2;null;null;23,083871;81,475806;null;null;-7.33722221;-47.45972222;182.94
2020-04-30;7,120787;407,7;null;null;22,873333;83,844828;null;null;-7.33722221;-47.45972222;182.94
2020-05-31;5,054348;33,8;null;null;23,296667;73,596774;null;null;-7.33722221;-47.45972222;182.94
2020-06-30;2,963483;34,3;null;null;21,64;67,625;null;null;-7.33722221;-47.45972222;182.94
2020-07-31;1,774194;0;null;null;20,677419;54,951613;null;null;-7.33722221;-47.45972222;182.94
2020-08-31;2,701613;8,6;null;null;21,922581;50,137097;null;null;-7.33722221;-47.45972222;182.94
2020-09-30;3,63764;16,8;null;null;23,923333;48,116667;null;null;-7.33722221;-47.45972222;182.94
2020-10-31;5,366848;107,3;null;null;23,766667;66,16129;null;null;-7.33722221;-47.45972222;182.94
2020-11-30;7,159091;399,8;null;null;22,17;75,725;null;null;-7.33722221;-47.45972222;182.94
2020-12-31;7,298387;234,1;null;null;21,690323;79,241935;null;null;-7.33722221;-47.45972222;182.94

