Nome: BALSAS
Codigo Estacao: 82768
Latitude: -7.529423
Longitude: -46.046321
Altitude: 263.48
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;6,834239;276,4;null;null;null;80,653226;1,02888;,704559;-7.529423;-46.046321;263.48
2020-02-29;6,37931;180,2;null;null;null;80,267241;1,02888;,709572;-7.529423;-46.046321;263.48
2020-03-31;6,653226;427,1;null;null;null;80,225806;1,02888;,696983;-7.529423;-46.046321;263.48
2020-04-30;6,263889;270,8;null;null;null;79,041667;1,02888;,68592;-7.529423;-46.046321;263.48
2020-05-31;4,233871;75,4;null;null;null;70,774194;1,02888;,696983;-7.529423;-46.046321;263.48
2020-06-30;2,162921;5;null;null;null;64,284483;1,02888;,693627;-7.529423;-46.046321;263.48
2020-07-31;,863636;0;null;null;null;61,416667;1,02888;,561207;-7.529423;-46.046321;263.48
2020-08-31;1,787634;,2;null;null;null;56,524194;3,08664;,741236;-7.529423;-46.046321;263.48
2020-09-30;1,986111;3,8;null;null;null;51,158333;1,02888;,68592;-7.529423;-46.046321;263.48
2020-10-31;3,653846;61;null;null;null;63,024194;1,02888;,678382;-7.529423;-46.046321;263.48
2020-11-30;5,980114;183,3;null;null;null;72,783333;1,02888;,689817;-7.529423;-46.046321;263.48
2020-12-31;5,94086;239,4;null;null;null;75,903226;1,54332;,691452;-7.529423;-46.046321;263.48

