Nome: PICOS
Codigo Estacao: 82780
Latitude: -7.08083332
Longitude: -41.43499999
Altitude: 210.07
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;5,679825;164,6;33,007407;27,463077;23,058621;79,185185;3,08664;1,7148;-7.08083332;-41.43499999;210.07
2020-02-29;5,745192;124,8;32,964;27,030435;22,628;83,92;3,08664;1,850005;-7.08083332;-41.43499999;210.07
2020-03-31;null;null;32,188235;26,737647;22,935;91,294118;4,11552;null;-7.08083332;-41.43499999;210.07
2020-04-30;null;null;null;null;null;null;null;null;-7.08083332;-41.43499999;210.07
2020-05-31;null;null;null;null;null;null;null;null;-7.08083332;-41.43499999;210.07
2020-06-30;null;null;null;null;null;null;null;null;-7.08083332;-41.43499999;210.07
2020-07-31;null;null;null;null;null;null;null;null;-7.08083332;-41.43499999;210.07
2020-08-31;null;null;null;null;null;null;null;null;-7.08083332;-41.43499999;210.07
2020-09-30;null;null;null;null;null;null;null;null;-7.08083332;-41.43499999;210.07
2020-10-31;null;null;null;null;null;null;null;null;-7.08083332;-41.43499999;210.07
2020-11-30;null;null;null;null;null;null;null;null;-7.08083332;-41.43499999;210.07
2020-12-31;null;null;null;null;null;null;null;null;-7.08083332;-41.43499999;210.07

