Nome: BARBALHA
Codigo Estacao: 82784
Latitude: -7.300925
Longitude: -39.271107
Altitude: 409.41
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;6.454918;190.7;33.56;25.678;20.716129;91.8;1.54332;.961412;-7.300925;-39.271107;409.41
2020-02-29;7.017544;306.5;33.227586;25.504286;20.855172;92.137931;2.05776;.851487;-7.300925;-39.271107;409.41
2020-03-31;6.800847;535.3;31.848276;24.675862;19.67;92.448276;2.05776;1.089915;-7.300925;-39.271107;409.41
2020-04-30;5.78125;167.7;33.460714;25.14963;19.05;90.642857;2.05776;1.295286;-7.300925;-39.271107;409.41
2020-05-31;5.45082;114.9;34.255172;25.376552;18.667742;90.103448;3.08664;1.349351;-7.300925;-39.271107;409.41
2020-06-30;3.77193;24.3;32.678261;23.48;16.332143;90.793103;4.62996;1.88628;-7.300925;-39.271107;409.41
2020-07-31;3.017241;0;33.834483;23.911034;16.22069;87.965517;3.08664;1.995672;-7.300925;-39.271107;409.41
2020-08-31;2.544643;0;34.814815;24.991538;16.9;86.714286;3.08664;1.828099;-7.300925;-39.271107;409.41
2020-09-30;2.966102;7.3;36.32069;26.518621;19.2;81.206897;3.08664;1.264302;-7.300925;-39.271107;409.41
2020-10-31;3.412698;9.9;37.13871;27.32129;20.5;80.209677;2.05776;.653257;-7.300925;-39.271107;409.41
2020-11-30;5.115741;40;35.934615;26.843846;20.65;82.192308;2.05776;.819293;-7.300925;-39.271107;409.41
2020-12-31;4.590517;67.7;36.896552;26.967857;20.22;80.965517;2.05776;.828336;-7.300925;-39.271107;409.41

