Nome: MONTEIRO
Codigo Estacao: 82792
Latitude: -7.89444444
Longitude: -37.12472221
Altitude: 606.41
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;7,596154;141,6;33,574194;27,341935;21,616129;56,596774;null;null;-7.89444444;-37.12472221;606.41
2020-02-29;8,234127;180,2;32,730769;26,993077;21,732143;64;null;null;-7.89444444;-37.12472221;606.41
2020-03-31;8,073529;389;30,836667;25,322;21,33871;76,774194;null;null;-7.89444444;-37.12472221;606.41
2020-04-30;6,953125;180,2;30,341667;25,128182;21,125;80,083333;null;null;-7.89444444;-37.12472221;606.41
2020-05-31;6,391509;71,2;29,134615;24,073077;19,846154;79,923077;null;null;-7.89444444;-37.12472221;606.41
2020-06-30;5,6;35,8;28,561538;22,912;17,753846;80,576923;null;null;-7.89444444;-37.12472221;606.41
2020-07-31;5,259434;19,9;28,948148;22,34963;15,674074;71,296296;null;null;-7.89444444;-37.12472221;606.41
2020-08-31;4,289216;3,8;30,130769;22,7168;16,069231;62,961538;null;null;-7.89444444;-37.12472221;606.41
2020-09-30;4,3;2;31,183333;23,724545;17,008;62,434783;null;null;-7.89444444;-37.12472221;606.41
2020-10-31;3,962264;1,1;33,244444;26,037692;19,255556;58,222222;null;null;-7.89444444;-37.12472221;606.41
2020-11-30;5,703125;22,1;32,573913;26,036364;20,325;64,958333;null;null;-7.89444444;-37.12472221;606.41
2020-12-31;5,637255;1,1;32,892308;26,270833;20,2;60,730769;null;null;-7.89444444;-37.12472221;606.41

