Nome: CAMPINA GRANDE
Codigo Estacao: 82795
Latitude: -7.22555554
Longitude: -35.90472222
Altitude: 546.27
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;7,553763;45,3;32,1;null;null;71,145161;8,23104;4,08233;-7.22555554;-35.90472222;546.27
2020-02-29;7,399425;18,5;32,044828;null;null;72,12931;8,23104;4,257434;-7.22555554;-35.90472222;546.27
2020-03-31;7,336957;130,7;30,863333;null;null;78,35;7,7166;3,410961;-7.22555554;-35.90472222;546.27
2020-04-30;7,069444;55,9;30,146667;null;null;80,225;6,68772;3,521056;-7.22555554;-35.90472222;546.27
2020-05-31;7,798913;80,6;28,387097;null;null;82,266129;6,68772;3,60108;-7.22555554;-35.90472222;546.27
2020-06-30;7,47191;127,5;26,703333;null;null;84,474138;8,23104;3,554313;-7.22555554;-35.90472222;546.27
2020-07-31;6,57967;106,6;26,183333;null;null;81,925;6,68772;3,391912;-7.22555554;-35.90472222;546.27
2020-08-31;5,521978;15,1;27,666667;null;null;73,65;6,68772;3,968537;-7.22555554;-35.90472222;546.27
2020-09-30;6,065341;30,6;28,39;null;null;73,791667;6,68772;4,026823;-7.22555554;-35.90472222;546.27
2020-10-31;6,086957;2,7;30,751613;null;null;69,806452;5,1444;3,612263;-7.22555554;-35.90472222;546.27
2020-11-30;7,261236;24,7;31,073333;null;null;72,2;7,20216;3,583739;-7.22555554;-35.90472222;546.27
2020-12-31;6,972222;27,5;30,924138;null;null;71,422414;5,65884;3,693564;-7.22555554;-35.90472222;546.27

