Nome: SURUBIM
Codigo Estacao: 82797
Latitude: -7.839628
Longitude: -35.801056
Altitude: 421.44
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;6,229839;8,8;33,43871;25,852258;21,735484;79,935484;5,1444;3,103235;-7.839628;-35.801056;421.44
2020-02-29;6,185345;51,8;33,013793;26,627586;22,572414;78,931034;5,65884;3,60108;-7.839628;-35.801056;421.44
2020-03-31;5,990854;181,2;31,936667;26,043333;22,209677;82,425;9,25992;2,979988;-7.839628;-35.801056;421.44
2020-04-30;5,729167;112,7;30,682759;25,387586;21,773333;87,166667;5,65884;2,726532;-7.839628;-35.801056;421.44
2020-05-31;6,491935;63,4;29,483871;24,447742;20,967742;87,677419;5,1444;2,597092;-7.839628;-35.801056;421.44
2020-06-30;6,698113;110,8;null;null;19,807692;null;5,65884;4,018456;-7.839628;-35.801056;421.44
2020-07-31;5,754717;27,4;null;null;18,119231;null;6,68772;4,028162;-7.839628;-35.801056;421.44
2020-08-31;4,783654;10,9;null;null;17,692308;null;7,7166;5,124614;-7.839628;-35.801056;421.44
2020-09-30;5,913462;18,2;null;null;18,815385;null;7,20216;4,966325;-7.839628;-35.801056;421.44
2020-10-31;4,903846;3;null;null;20,28;null;7,20216;5,302689;-7.839628;-35.801056;421.44
2020-11-30;5,1;0;null;null;21,128;null;7,20216;4,866602;-7.839628;-35.801056;421.44
2020-12-31;5,589623;,6;null;null;21,051852;null;6,68772;5,095868;-7.839628;-35.801056;421.44

