Nome: JOAO PESSOA
Codigo Estacao: 82798
Latitude: -7.09527777
Longitude: -34.8486111
Altitude: 9.67
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;5.185185;29.5;32.7;28.432308;23.82963;79.962963;3.08664;1.78598;-7.09527777;-34.8486111;9.67
2020-02-29;5;138.4;32.834483;28.517931;22.665517;74.896552;3.08664;1.531494;-7.09527777;-34.8486111;9.67
2020-03-31;5.494505;247.4;32.528571;28.025714;21.770968;77.396552;3.08664;.932776;-7.09527777;-34.8486111;9.67
2020-04-30;5.75;229;31.914286;27.22;20.939286;82.678571;3.08664;1.214078;-7.09527777;-34.8486111;9.67
2020-05-31;6.186441;516.3;31.33;26.628571;20.072414;85.903226;2.5722;.976564;-7.09527777;-34.8486111;9.67
2020-06-30;5.699153;385.9;30.32;25.462667;19.333333;84.9;3.08664;.871932;-7.09527777;-34.8486111;9.67
2020-07-31;6.413934;282.3;29.825806;25.191333;20.883333;84.645161;5.1444;1.121648;-7.09527777;-34.8486111;9.67
2020-08-31;5.317797;51.1;29.772414;25.8;22.07931;77.266667;3.08664;1.639233;-7.09527777;-34.8486111;9.67
2020-09-30;5.208333;30.9;30.533333;26.561379;22.931034;74.3;3.08664;1.912002;-7.09527777;-34.8486111;9.67
2020-10-31;5.423387;34.9;31.096667;27.513846;24.113333;75.693548;3.08664;1.501833;-7.09527777;-34.8486111;9.67
2020-11-30;5.526316;29.2;31.925926;28.1008;24.841379;74.592593;3.08664;1.460642;-7.09527777;-34.8486111;9.67
2020-12-31;5.169492;16.8;32.103448;28.252857;24.616129;73.37931;3.08664;1.711843;-7.09527777;-34.8486111;9.67

