Nome: TARAUACA
Codigo Estacao: 82807
Latitude: -8.16027777
Longitude: -70.7686111
Altitude: 172.27
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;7,567204;258;32,483871;27,038065;23,73871;82,75;3,08664;,760477;-8.16027777;-70.7686111;172.27
2020-02-29;8,630952;212,4;31,427586;26,53931;23,744828;86,37931;3,08664;,669968;-8.16027777;-70.7686111;172.27
2020-03-31;8,359375;251,8;32,526667;26,765517;23,741935;86,916667;2,05776;,677555;-8.16027777;-70.7686111;172.27
2020-04-30;8,271277;231,2;32,169231;26,702609;22,820833;90,384615;1,02888;,25722;-8.16027777;-70.7686111;172.27
2020-05-31;6,595745;84,2;31,015385;25,849167;21,644;86,461538;2,05776;,395723;-8.16027777;-70.7686111;172.27
2020-06-30;3,970588;73;31,984615;26,316;21,404;86,5;2,05776;,226354;-8.16027777;-70.7686111;172.27
2020-07-31;5,208333;57,8;31,637037;25,934074;21,218519;86,296296;2,05776;,2858;-8.16027777;-70.7686111;172.27
2020-08-31;3,80814;32,4;34,053846;26,3664;19,76;78,115385;2,05776;,217648;-8.16027777;-70.7686111;172.27
2020-09-30;7,138158;173,8;33,507692;27,393077;22,596154;83,115385;2,05776;,435295;-8.16027777;-70.7686111;172.27
2020-10-31;null;null;null;null;null;null;null;null;-8.16027777;-70.7686111;172.27
2020-11-30;6,894531;139,8;33,074074;27,406667;23,366667;83,083333;2,05776;,408526;-8.16027777;-70.7686111;172.27
2020-12-31;7,94837;419,6;31,173333;26,249655;22,973333;84,524194;2,05776;,51444;-8.16027777;-70.7686111;172.27

