Nome: CONCEICAO DO ARAGUAIA
Codigo Estacao: 82861
Latitude: -8.25916666
Longitude: -49.26388888
Altitude: 179.02
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;6.848485;185.7;33.618182;27.621818;23.695455;81.375;5;1.777273;-8.25916666;-49.26388888;179.02
2020-02-29;6.984568;228.4;32.27037;26.857037;22.881481;83.564815;5.1444;2.349555;-8.25916666;-49.26388888;179.02
2020-03-31;7.392473;327.7;32.409677;26.874839;22.580645;83.104839;10.2888;2.378594;-8.25916666;-49.26388888;179.02
2020-04-30;6.423611;176.2;33.604167;27.6325;23.008333;79.354167;4.11552;2.37214;-8.25916666;-49.26388888;179.02
2020-05-31;5.761719;46.5;34.7;28.389524;23.109524;73.261905;5.1444;2.298904;-8.25916666;-49.26388888;179.02
2020-06-30;3.068182;7.1;35.325;28.363333;22.604167;69.65625;5.1444;1.908105;-8.25916666;-49.26388888;179.02
2020-07-31;1.018519;0;36.959259;28.593333;21.262963;61.222222;5.1444;1.638587;-8.25916666;-49.26388888;179.02
2020-08-31;2.331731;0;38.169231;29.470769;21.596154;56.538462;5.1444;1.820326;-8.25916666;-49.26388888;179.02
2020-09-30;2.211538;3.3;39.534615;30.344615;22.311538;59.961538;5.1444;1.859898;-8.25916666;-49.26388888;179.02
2020-10-31;3.396226;107.8;36.233333;29.075385;23.438462;72.37037;4.11552;2.115998;-8.25916666;-49.26388888;179.02
2020-11-30;6.75;174.2;33.568;27.8232;23.108;81.72;5.1444;2.016605;-8.25916666;-49.26388888;179.02
2020-12-31;6.666667;168;33.503704;27.398519;23.203704;84.259259;5.1444;2.11492;-8.25916666;-49.26388888;179.02

