Nome: PEDRO AFONSO
Codigo Estacao: 82863
Latitude: -8.9686111
Longitude: -48.17722221
Altitude: 189.53
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;7,674051;252,7;32,375862;26,917931;23,626667;82,758621;8,23104;1,567247;-8.9686111;-48.17722221;189.53
2020-02-29;7,5;328,9;32,595455;26,59;23,191304;83,597826;7,20216;1,749096;-8.9686111;-48.17722221;189.53
2020-03-31;8,099315;329,3;31,985185;26,544545;23,513043;85,342593;6,17328;1,269397;-8.9686111;-48.17722221;189.53
2020-04-30;6,955882;187,9;33,293103;27,355862;23,706667;80,15;8,23104;1,596538;-8.9686111;-48.17722221;189.53
2020-05-31;5,712209;94,9;34,232258;27,837241;23,833333;75,919355;8,23104;1,783002;-8.9686111;-48.17722221;189.53
2020-06-30;2,5;0;34,543333;26,757241;21,103448;68,375;7,20216;2,034639;-8.9686111;-48.17722221;189.53
2020-07-31;1,681034;0;35,134483;25,930714;18,876667;60,169355;8,23104;1,70673;-8.9686111;-48.17722221;189.53
2020-08-31;2,972222;0;36,590323;27,533333;19,996667;53,967742;8,23104;1,710947;-8.9686111;-48.17722221;189.53
2020-09-30;2,430556;0;38,3;29,577857;22,02069;47,15;8,23104;2,263536;-8.9686111;-48.17722221;189.53
2020-10-31;4,569892;124,2;36,554839;29,195;23,489286;61,306452;10,2888;1,878824;-8.9686111;-48.17722221;189.53
2020-11-30;7,083333;158,1;33,626667;27,870345;23,81;74,55;6,17328;1,646208;-8.9686111;-48.17722221;189.53
2020-12-31;6,351744;173,4;34,13871;27,409286;23,32;74,330645;9,25992;1,465036;-8.9686111;-48.17722221;189.53

