Nome: SAO JOAO DO PIAUI
Codigo Estacao: 82879
Latitude: -8.365
Longitude: -42.25027777
Altitude: 237.02
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;5,731132;109,3;31,728;26,1912;20,707407;88,52;5,65884;1,465669;-8.365;-42.25027777;237.02
2020-02-29;5,075;52,2;33,096;26,6872;21,012;85,84;3,60108;1,234656;-8.365;-42.25027777;237.02
2020-03-31;6,514423;61,3;32,319231;26,284615;21,426923;92,346154;5,65884;1,483962;-8.365;-42.25027777;237.02
2020-04-30;5,588235;127,4;32;26,0496;20,457692;90,8;5,65884;1,775322;-8.365;-42.25027777;237.02
2020-05-31;3,946078;0;32,841667;26,253333;20,207692;84,875;3,60108;1,815671;-8.365;-42.25027777;237.02
2020-06-30;2,696078;8;32,953846;26,161538;19,569231;77,038462;5,65884;2,788265;-8.365;-42.25027777;237.02
2020-07-31;1,022727;7;33,785185;26,499259;19,064286;67,925926;5,65884;3,451425;-8.365;-42.25027777;237.02
2020-08-31;1,029412;0;34,784;27,5376;20,407692;66,48;5,65884;3,893605;-8.365;-42.25027777;237.02
2020-09-30;,745192;0;36,464;29,3616;21,815385;70,52;5,65884;3,94404;-8.365;-42.25027777;237.02
2020-10-31;1,828704;20,6;38,084615;30,3928;23,05;81,407407;5,65884;3,334333;-8.365;-42.25027777;237.02
2020-11-30;4,95;174;32,536;26,4232;20,668;82,84;5,65884;2,31498;-8.365;-42.25027777;237.02
2020-12-31;3,333333;9,8;35,055556;27,776923;20,188889;84,259259;8,74548;2,678971;-8.365;-42.25027777;237.02

